period,h,s,pi_H_bar,pi_L_bar,pi_H_bar_norm,pi_L_bar_norm,mean_price,mean_welfare,n_relocations,n_policy_changes,b_SL
1,0.802,0.6,1141504.723,1187881.6733,0.558887,0.581593,19.5763,0.661092,219,4,0.139372
2,1.0,0.6,10203008.5274,1435228.9575,4.995448,0.702696,19.6781,0.33416,29,0,0.011529
3,1.0,0.6,9434982.1033,0.0,4.619418,0.0,19.6952,0.325,56,0,0.001037
4,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
5,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
6,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
7,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
8,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
9,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
10,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
11,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
12,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
13,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
14,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
15,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
16,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
17,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
18,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
19,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
20,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
21,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
22,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
23,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
24,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
25,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
26,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
27,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
28,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
29,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
30,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
31,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
32,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
33,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
34,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
35,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
36,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
37,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
38,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
39,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
40,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
41,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
42,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
43,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
44,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
45,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
46,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
47,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
48,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
49,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
50,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
51,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
52,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
53,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
54,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
55,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
56,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
57,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
58,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
59,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
60,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
61,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
62,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
63,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
64,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
65,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
66,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
67,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
68,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
69,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
70,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
71,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
72,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
73,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
74,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
75,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
76,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
77,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
78,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
79,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
80,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
81,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
82,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
83,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
84,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
85,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
86,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
87,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
88,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
89,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
90,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
91,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
92,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
93,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
94,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
95,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
96,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
97,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
98,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
99,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
100,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
101,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
102,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
103,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
104,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
105,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
106,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
107,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
108,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
109,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
110,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
111,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
112,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
113,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
114,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
115,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
116,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
117,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
118,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
119,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
120,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
121,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
122,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
123,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
124,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
125,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
126,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
127,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
128,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
129,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
130,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
131,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
132,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
133,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
134,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
135,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
136,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
137,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
138,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
139,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
140,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
141,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
142,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
143,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
144,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
145,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
146,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
147,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
148,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
149,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
150,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
151,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
152,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
153,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
154,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
155,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
156,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
157,1.0,0.6,11271047.9885,0.0,5.518366,0.0,19.7165,0.328401,0,0,-0.016809
