phi,delta_loc,win_rate,win_rate_std,in_band
0,100,1.0,0.0,False
100,100,0.8555,0.0596,False
200,100,0.0043,0.0031,False
300,100,0.0006,0.0013,False
400,100,0.0,0.0,False
500,100,0.0,0.0,False
600,100,0.0,0.0,False
700,100,0.0,0.0,False
800,100,0.0,0.0,False
900,100,0.0,0.0,False
1000,100,0.0,0.0,False
1100,100,0.0,0.0,False
1200,100,0.0,0.0,False
1300,100,0.0,0.0,False
0,200,1.0,0.0,False
100,200,1.0,0.0,False
200,200,0.8555,0.0596,False
300,200,0.0734,0.0223,False
400,200,0.0048,0.0033,False
500,200,0.0011,0.0018,False
600,200,0.0006,0.0013,False
700,200,0.0,0.0,False
800,200,0.0,0.0,False
900,200,0.0,0.0,False
1000,200,0.0,0.0,False
1100,200,0.0,0.0,False
1200,200,0.0,0.0,False
1300,200,0.0,0.0,False
0,300,1.0,0.0,False
100,300,1.0,0.0,False
200,300,1.0,0.0,False
300,300,0.8555,0.0596,False
400,300,0.1914,0.0607,False
500,300,0.0219,0.0044,False
600,300,0.0048,0.0033,False
700,300,0.0016,0.0018,False
800,300,0.0009,0.0017,False
900,300,0.0006,0.0013,False
1000,300,0.0003,0.0005,False
1100,300,0.0,0.0,False
1200,300,0.0,0.0,False
1300,300,0.0,0.0,False
0,500,1.0,0.0,False
100,500,1.0,0.0,False
200,500,1.0,0.0,False
300,500,1.0,0.0,False
400,500,1.0,0.0,False
500,500,0.8555,0.0596,False
600,500,0.4007,0.0894,False
700,500,0.1241,0.0416,False
800,500,0.0326,0.006,False
900,500,0.0132,0.0034,False
1000,500,0.0049,0.0032,False
1100,500,0.0024,0.002,False
1200,500,0.0013,0.0018,False
1300,500,0.0009,0.0018,False
0,700,1.0,0.0,False
100,700,1.0,0.0,False
200,700,1.0,0.0,False
300,700,1.0,0.0,False
400,700,1.0,0.0,False
500,700,1.0,0.0,False
600,700,1.0,0.0,False
700,700,0.8555,0.0596,False
800,700,0.522,0.0966,False
900,700,0.2487,0.064,False
1000,700,0.1073,0.0368,False
1100,700,0.0405,0.0063,False
1200,700,0.018,0.0028,False
1300,700,0.01,0.0046,False
0,1000,1.0,0.0,False
100,1000,1.0,0.0,False
200,1000,1.0,0.0,False
300,1000,1.0,0.0,False
400,1000,1.0,0.0,False
500,1000,1.0,0.0,False
600,1000,1.0,0.0,False
700,1000,1.0,0.0,False
800,1000,1.0,0.0,False
900,1000,1.0,0.0,False
1000,1000,0.8555,0.0596,False
1100,1000,0.6068,0.1113,True
1200,1000,0.402,0.0889,False
1300,1000,0.2323,0.0619,False
