tau_BA,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0344828,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0689655,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.103448,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.137931,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.172414,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.206897,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.241379,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.275862,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.310345,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.344828,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.37931,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.413793,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.448276,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.482759,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.517241,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.551724,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.586207,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.62069,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.655172,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.689655,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.724138,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.758621,0,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97001e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
