mu,tau,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.02,0,race_to_bottom,-0.9771,0.9971,0.0200,0.000,2.06878e+08,5.75156e+06,32297.5,1.1908e+09,9.89706e+08,7.91765e+08,1.97941e+08,3772.96,4.6962e+06,5177.95,1,1096.63,2.02182e+08,3762.7,49,53735,1.0000,1.0000,0.9864,1.0000,0.9966,0.9998,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0253792,0,race_to_bottom,-0.6576,0.8343,0.1767,0.167,3.43621e+08,5.53369e+06,20669.8,1.16671e+09,8.28643e+08,6.62915e+08,1.65729e+08,6266.83,1.73007e+08,9200.7,8.83333,9686.93,1.70613e+08,4407.3,41.1667,45144.7,1.0000,0.9991,0.9816,0.0251,0.9999,1.0000,0.0400,0.0000,0.0200,0.9800,0.0200,0.0000
0.0322052,0,race_to_bottom,-0.9770,0.9970,0.0200,0.000,2.06838e+08,5.75299e+06,32503.1,1.19096e+09,9.89909e+08,7.91927e+08,1.97982e+08,3772.23,4.64769e+06,5111.85,1,1096.63,2.0219e+08,3762.86,49,53735,1.0000,0.9993,0.9833,0.9997,1.0000,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0408672,0,race_to_bottom,-0.9768,0.9968,0.0200,0.000,2.06956e+08,5.75303e+06,32187.8,1.19096e+09,9.8979e+08,7.91832e+08,1.97958e+08,3774.4,4.73784e+06,5235.15,1,1096.63,2.02219e+08,3763.39,49,53735,1.0000,0.9996,0.9861,0.9998,0.9954,0.9999,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0518589,0,race_to_bottom,-0.9775,0.9975,0.0200,0.000,2.06932e+08,5.7544e+06,32297.5,1.19111e+09,9.89961e+08,7.91968e+08,1.97992e+08,3773.94,4.695e+06,5176.77,1,1096.63,2.02237e+08,3763.73,49,53735,1.0000,0.9997,0.9891,0.9999,0.9968,0.9994,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0658069,0,race_to_bottom,-0.9756,0.9956,0.0200,0.000,2.0789e+08,5.75364e+06,30140.2,1.19105e+09,9.88941e+08,7.91153e+08,1.97788e+08,3791.42,5.50327e+06,6282.33,1,1096.63,2.02387e+08,3766.52,49,53735,1.0000,1.0000,0.9818,1.0000,0.9917,0.9999,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0835064,0,race_to_bottom,-0.9762,0.9962,0.0200,0.000,2.07447e+08,5.75431e+06,31171.7,1.19111e+09,9.89451e+08,7.91561e+08,1.9789e+08,3783.34,5.12732e+06,5768.15,1,1096.63,2.0232e+08,3765.27,49,53735,1.0000,0.9998,0.9819,1.0000,0.9955,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.105966,0,race_to_bottom,-0.9769,0.9969,0.0200,0.000,2.06932e+08,5.75438e+06,32297.5,1.19111e+09,9.89962e+08,7.9197e+08,1.97992e+08,3773.95,4.69508e+06,5176.94,1,1096.63,2.02237e+08,3763.73,49,53735,1.0000,0.9999,0.9863,1.0000,0.9955,0.9999,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.134467,0,race_to_bottom,-0.9843,0.9977,0.0133,0.000,2.06582e+08,5.76753e+06,20599.3,1.19256e+09,9.9177e+08,7.93416e+08,1.98354e+08,3767.57,3.3108e+06,5188.97,0.666667,731.089,2.03271e+08,3757.45,49.3333,54100.6,1.0000,0.9999,0.9919,0.9999,0.9942,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.170634,0,race_to_bottom,-0.9840,0.9973,0.0133,0.000,2.07098e+08,5.76811e+06,19543.7,1.19266e+09,9.91352e+08,7.93082e+08,1.9827e+08,3776.99,3.73658e+06,5965.42,0.666667,731.089,2.03362e+08,3759.14,49.3333,54100.6,1.0000,1.0000,0.9845,0.9995,1.0000,0.9998,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.216527,0,race_to_bottom,-0.9766,0.9966,0.0200,0.000,2.07108e+08,5.75448e+06,31908.5,1.1911e+09,9.89782e+08,7.91826e+08,1.97956e+08,3777.16,4.84286e+06,5379.05,1,1096.63,2.02265e+08,3764.25,49,53735,1.0000,1.0000,0.9838,1.0000,0.9955,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.274765,0,race_to_bottom,-0.9776,0.9976,0.0200,0.000,2.06369e+08,5.75496e+06,33599.8,1.19115e+09,9.90565e+08,7.92452e+08,1.98113e+08,3763.68,4.2252e+06,4534.37,1,1096.63,2.02144e+08,3762,49,53735,1.0000,0.9999,0.9861,1.0000,0.9999,0.9998,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.348666,0,race_to_bottom,-0.9820,0.9953,0.0133,0.000,2.08401e+08,5.7684e+06,16588,1.19268e+09,9.90066e+08,7.92052e+08,1.98013e+08,3800.75,4.8092e+06,7922.11,0.666667,731.089,2.03592e+08,3763.42,49.3333,54100.6,1.0000,1.0000,0.9823,0.9999,0.9896,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.442443,0,race_to_bottom,-0.9778,0.9956,0.0178,0.000,2.07941e+08,5.76092e+06,24268.1,1.19186e+09,9.897e+08,7.9176e+08,1.9794e+08,3792.35,4.80794e+06,4911.72,0.8875,973.262,2.03133e+08,3772.49,49.1125,53858.4,1.0000,0.9999,0.9787,0.9999,0.9951,1.0000,0.0000,0.0000,0.0469,0.0400,0.0200,0.0000
0.561443,0,race_to_bottom,-0.9722,0.9966,0.0243,0.000,2.07013e+08,5.74761e+06,38709.7,1.19027e+09,9.89047e+08,7.91238e+08,1.97809e+08,3775.43,5.13601e+06,3602.1,1.22083,1338.81,2.01877e+08,3774.64,48.7792,53492.9,1.0000,0.9999,0.9795,0.9999,1.0000,1.0000,0.0400,0.0000,0.0460,0.0400,0.0200,0.0000
0.71245,0,race_to_bottom,-0.9692,0.9970,0.0277,0.000,2.06796e+08,5.741e+06,45408.5,1.18946e+09,9.88447e+08,7.90758e+08,1.97689e+08,3771.47,5.56248e+06,3624.95,1.37917,1512.44,2.01233e+08,3774.84,48.6208,53319.2,1.0000,1.0000,0.9820,0.9998,1.0000,1.0000,0.0400,0.0000,0.0453,0.0612,0.0200,0.0000
0.904071,0,race_to_bottom,-0.9844,0.9978,0.0133,0.000,2.06616e+08,5.76901e+06,20585.5,1.19262e+09,9.91793e+08,7.93435e+08,1.98359e+08,3768.18,3.33614e+06,5235.09,0.666667,731.089,2.0328e+08,3757.6,49.3333,54100.6,1.0000,0.9997,0.9875,0.9995,0.9998,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
1.14723,0,race_to_bottom,-0.9796,0.9967,0.0171,0.000,2.07202e+08,5.75886e+06,25430,1.1914e+09,9.89978e+08,7.91982e+08,1.97996e+08,3778.88,4.33275e+06,5304.04,0.858333,941.277,2.0287e+08,3764.7,49.1417,53890.4,1.0000,0.9999,0.9864,0.9998,0.9938,1.0000,0.0000,0.0223,0.0200,0.0400,0.0200,0.0000
1.45579,0,race_to_bottom,-0.9606,0.9936,0.0330,0.000,2.08503e+08,5.73352e+06,42573.3,1.18847e+09,9.85741e+08,7.88593e+08,1.97148e+08,3802.6,6.10192e+06,4743.91,1.64583,1804.88,2.02401e+08,3823.52,48.3542,53026.8,1.0000,0.9993,0.9782,0.9889,0.9952,1.0000,0.0000,0.0000,0.0459,0.1322,0.0200,0.0000
1.84734,0,race_to_bottom,-0.9790,0.9967,0.0177,0.000,2.06918e+08,5.75573e+06,26050.1,1.19106e+09,9.8992e+08,7.91936e+08,1.97984e+08,3773.7,4.03925e+06,4932.81,0.883333,968.693,2.02879e+08,3766.9,49.1167,53863,1.0000,1.0000,0.9838,1.0000,0.9961,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0261
2.3442,0,race_to_bottom,-0.9547,0.9932,0.0385,0.000,2.08935e+08,5.72066e+06,53894.2,1.18699e+09,9.83829e+08,7.87063e+08,1.96766e+08,3810.48,7.70684e+06,3199.05,1.94583,2133.87,2.01228e+08,3822.53,48.0542,52697.8,1.0000,0.9997,0.9863,0.9742,0.9996,0.9994,0.0253,0.0262,0.0424,0.1170,0.0200,0.0000
2.9747,0,race_to_bottom,-0.9786,0.9970,0.0184,0.000,2.06893e+08,5.75457e+06,26255.1,1.19091e+09,9.89798e+08,7.91839e+08,1.9796e+08,3773.25,3.92717e+06,4805.39,0.9125,1000.68,2.02966e+08,3770.83,49.0875,53831,1.0000,1.0000,0.9869,0.9994,0.9960,0.9997,0.0000,0.0000,0.0200,0.0400,0.0200,0.0304
3.77478,0,race_to_bottom,-0.9650,0.9911,0.0261,0.000,2.10232e+08,5.73291e+06,30606.4,1.18834e+09,9.83873e+08,7.87098e+08,1.96775e+08,3834.14,7.72214e+06,5713.27,1.30417,1430.19,2.0251e+08,3795,48.6958,53401.5,1.0000,0.9999,0.9804,0.9723,0.9941,1.0000,0.0000,0.0000,0.0482,0.0883,0.0200,0.0000
4.79005,0,race_to_bottom,-0.9545,0.9878,0.0333,0.000,2.11938e+08,5.70547e+06,38733.6,1.18538e+09,9.79189e+08,7.83351e+08,1.95838e+08,3865.25,1.0367e+07,4516.48,1.67083,1832.29,2.01571e+08,3807.32,48.3292,52999.4,1.0000,0.9994,0.9747,0.9530,0.9999,1.0000,0.0000,0.0239,0.0464,0.1095,0.0200,0.0000
