s0,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,h_seed6,h_seed7,h_seed8,h_seed9,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5,s_seed6,s_seed7,s_seed8,s_seed9
0,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05071e+08,5.79433e+06,0,1.19566e+09,9.96384e+08,7.97107e+08,1.99277e+08,3740.01,0,nan,0,0,2.05071e+08,3740.01,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,1.0000,0.9996,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0416667,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05072e+08,5.79497e+06,0,1.19566e+09,9.96384e+08,7.97107e+08,1.99277e+08,3740.03,0,nan,0,0,2.05072e+08,3740.03,50,54831.7,1.0000,0.9994,0.9999,1.0000,1.0000,1.0000,1.0000,0.9998,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0833333,1,race_to_bottom,-0.9959,0.9999,0.0040,0.000,2.04919e+08,5.78684e+06,7980.94,1.19474e+09,9.95619e+08,7.96495e+08,1.99124e+08,3737.23,560394,2555.06,0.2,219.327,2.04358e+08,3742.01,49.8,54612.3,1.0000,0.9994,0.9999,0.9999,1.0000,1.0000,0.9999,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200
0.125,1,race_to_bottom,-0.9933,0.9998,0.0065,0.000,2.04843e+08,5.78369e+06,11900.4,1.19429e+09,9.95238e+08,7.96191e+08,1.99048e+08,3735.86,673474,2096.72,0.325,356.406,2.0417e+08,3748.13,49.675,54475.3,1.0000,0.9995,0.9999,0.9997,0.9998,1.0000,1.0000,0.9996,0.9998,1.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200
0.166667,1,race_to_bottom,-0.9915,0.9999,0.0084,0.000,2.04775e+08,5.78039e+06,15499,1.19388e+09,9.94897e+08,7.95917e+08,1.98979e+08,3734.62,920008,2070.09,0.42,460.586,2.03855e+08,3749.57,49.58,54371.1,1.0000,1.0000,0.9999,0.9999,0.9998,0.9999,1.0000,0.9996,0.9999,0.9999,0.0239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.208333,1,race_to_bottom,-0.9896,0.9998,0.0102,0.000,2.04677e+08,5.77566e+06,19199.3,1.19329e+09,9.9441e+08,7.95528e+08,1.98882e+08,3732.82,1.19671e+06,2172.06,0.5125,562.024,2.0348e+08,3749.64,49.4875,54269.6,1.0000,0.9998,0.9999,0.9996,0.9999,0.9999,0.9991,0.9998,1.0000,0.9998,0.0221,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.25,1,race_to_bottom,-0.9939,0.9999,0.0060,0.000,2.0484e+08,5.78451e+06,11379.5,1.19427e+09,9.95223e+08,7.96178e+08,1.99045e+08,3735.81,742098,2232.91,0.3,328.99,2.04098e+08,3744.87,49.7,54502.7,1.0000,1.0000,1.0000,0.9995,0.9999,0.9999,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.291667,1,race_to_bottom,-0.9808,0.9993,0.0185,0.000,2.04741e+08,5.76243e+06,31140.4,1.19163e+09,9.92681e+08,7.94145e+08,1.98536e+08,3733.99,1.7203e+06,2199.98,0.9325,1022.61,2.03021e+08,3774.17,49.0675,53809,1.0000,0.9996,1.0000,0.9995,0.9947,0.9999,0.9999,0.9998,1.0000,0.9998,0.0233,0.0000,0.0200,0.0000,0.0200,0.0000,0.0000,0.0618,0.0400,0.0200
0.333333,1,race_to_bottom,-0.9764,0.9993,0.0228,0.000,2.04884e+08,5.75197e+06,38414.1,1.19045e+09,9.91356e+08,7.93085e+08,1.98271e+08,3736.6,2.52005e+06,2438.04,1.1425,1252.9,2.02364e+08,3778.25,48.8575,53578.8,1.0000,1.0000,1.0000,0.9963,1.0000,1.0000,1.0000,1.0000,1.0000,0.9962,0.0200,0.0000,0.0200,0.0426,0.0200,0.0000,0.0000,0.0654,0.0400,0.0200
0.375,1,race_to_bottom,-0.9736,0.9998,0.0262,0.000,2.04237e+08,5.74705e+06,44466.2,1.18986e+09,9.9141e+08,7.93128e+08,1.98282e+08,3724.8,2.09351e+06,1804.24,1.3075,1433.85,2.02143e+08,3787.59,48.6925,53397.8,1.0000,1.0000,1.0000,0.9986,1.0000,1.0000,0.9993,1.0000,1.0000,1.0000,0.0215,0.0000,0.0200,0.0749,0.0200,0.0000,0.0000,0.0654,0.0400,0.0200
