s0,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,h_seed6,h_seed7,h_seed8,h_seed9,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5,s_seed6,s_seed7,s_seed8,s_seed9
0,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.4061e+07,5.79433e+06,0,9.56528e+08,9.96384e+08,7.97107e+08,1.99277e+08,-621.192,0,nan,0,0,-3.4061e+07,-621.192,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,1.0000,0.9996,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0416667,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40599e+07,5.79467e+06,0,9.5651e+08,9.96364e+08,7.97091e+08,1.99273e+08,-621.172,0,nan,0,0,-3.40599e+07,-621.172,50,54831.7,1.0000,0.9994,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0833333,1,race_to_bottom,-0.9944,0.9993,0.0049,0.000,-3.36854e+07,5.78633e+06,7506.69,9.55727e+08,9.95206e+08,7.96165e+08,1.99041e+08,-614.342,-143007,-415.353,0.2425,265.934,-3.35424e+07,-614.539,49.7575,54565.7,1.0000,0.9994,0.9999,0.9990,1.0000,0.9954,0.9999,1.0000,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291,0.0000,0.0000,0.0200,0.0000
0.125,1,race_to_bottom,-0.9934,0.9999,0.0065,0.000,-3.40149e+07,5.78394e+06,11934.1,9.55459e+08,9.9527e+08,7.96216e+08,1.99054e+08,-620.352,-492441,-1281.36,0.3275,359.147,-3.35225e+07,-615.279,49.6725,54472.5,1.0000,0.9998,1.0000,1.0000,0.9998,1.0000,1.0000,1.0000,0.9998,1.0000,0.0252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200
0.166667,1,race_to_bottom,-0.9846,0.9978,0.0132,0.000,-3.24969e+07,5.77155e+06,20578,9.54267e+08,9.92556e+08,7.94045e+08,1.98511e+08,-592.666,187196,342.672,0.6625,726.519,-3.2684e+07,-603.654,49.3375,54105.1,1.0000,0.9912,1.0000,1.0000,1.0000,1.0000,1.0000,0.9997,0.9875,0.9998,0.0232,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0430
0.208333,1,race_to_bottom,-0.9939,0.9999,0.0060,0.000,-3.4011e+07,5.78312e+06,11379.5,9.55331e+08,9.95136e+08,7.96109e+08,1.99027e+08,-620.28,-396540,-1215.96,0.3,328.99,-3.36144e+07,-616.628,49.7,54502.7,1.0000,0.9997,1.0000,1.0000,1.0000,0.9999,0.9998,0.9996,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.25,1,race_to_bottom,-0.9939,0.9999,0.0060,0.000,-3.40148e+07,5.78509e+06,11379.5,9.5547e+08,9.95281e+08,7.96225e+08,1.99056e+08,-620.349,-396201,-1215.21,0.3,328.99,-3.36186e+07,-616.703,49.7,54502.7,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,1.0000,1.0000,0.9999,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.291667,1,race_to_bottom,-0.9877,0.9999,0.0122,0.000,-3.39634e+07,5.7716e+06,22566.8,9.54182e+08,9.93939e+08,7.95151e+08,1.98788e+08,-619.412,-855663,-1278.67,0.61,668.946,-3.31077e+07,-611.108,49.39,54162.7,1.0000,0.9993,1.0000,1.0000,1.0000,0.9999,0.9998,1.0000,0.9999,0.9998,0.0220,0.0000,0.0200,0.0000,0.0200,0.0000,0.0000,0.0000,0.0400,0.0200
0.333333,1,race_to_bottom,-0.9791,0.9995,0.0204,0.000,-3.35531e+07,5.75296e+06,37745.3,9.52477e+08,9.9182e+08,7.93456e+08,1.98364e+08,-611.93,-1.09236e+06,-862.796,1.02,1118.57,-3.24608e+07,-604.056,48.98,53713.1,1.0000,0.9996,1.0000,0.9999,0.9998,1.0000,0.9999,0.9996,0.9999,0.9958,0.0621,0.0000,0.0200,0.0200,0.0200,0.0000,0.0000,0.0217,0.0400,0.0200
0.375,1,race_to_bottom,-0.9730,0.9988,0.0258,0.000,-3.31603e+07,5.74625e+06,45534.4,9.51853e+08,9.90805e+08,7.92644e+08,1.98161e+08,-604.766,-1.31044e+06,-673.32,1.2875,1411.92,-3.18499e+07,-595.78,48.7125,53419.7,0.9991,0.9991,1.0000,1.0000,1.0000,0.9999,1.0000,0.9996,0.9997,0.9909,0.0690,0.0237,0.0200,0.0440,0.0200,0.0000,0.0000,0.0217,0.0400,0.0200
0.416667,1,race_to_bottom,-0.9634,0.9975,0.0340,0.000,-3.22724e+07,5.73043e+06,56778.2,9.50305e+08,9.88364e+08,7.90691e+08,1.97673e+08,-588.572,-1.40927e+06,-771.116,1.6975,1861.53,-3.08631e+07,-581.722,48.3025,52970.1,1.0000,1.0000,1.0000,0.9939,1.0000,0.9995,0.9999,0.9996,0.9817,0.9999,0.0626,0.0418,0.0437,0.0906,0.0200,0.0000,0.0000,0.0217,0.0400,0.0200
0.458333,1,race_to_bottom,-0.7643,0.8948,0.1305,0.100,5.5862e+07,5.58113e+06,47010.7,9.36988e+08,8.86754e+08,7.09403e+08,1.77351e+08,1018.79,8.22556e+07,2380.03,6.53,7161.01,-2.63936e+07,18.2828,43.47,47670.6,1.0000,0.9998,0.9997,0.0258,0.9952,0.9999,1.0000,0.9831,0.9998,0.9447,0.0400,0.0561,0.0400,0.9800,0.0200,0.0000,0.0000,0.0418,0.0400,0.0869
0.5,1,race_to_bottom,-0.9657,0.9951,0.0294,0.000,-3.05883e+07,5.74172e+06,44326.4,9.51353e+08,9.87728e+08,7.90182e+08,1.97546e+08,-557.859,321756,-92.688,1.475,1617.53,-3.09101e+07,-579.147,48.525,53214.1,1.0000,1.0000,1.0000,0.9760,0.9997,0.9998,0.9999,0.9847,0.9994,0.9918,0.0000,0.0261,0.0200,0.0836,0.0200,0.0000,0.0000,0.0846,0.0400,0.0200
0.541667,1,race_to_bottom,-0.7738,0.9004,0.1267,0.100,5.1449e+07,5.58995e+06,47962.1,9.3785e+08,8.92039e+08,7.13631e+08,1.78408e+08,938.307,7.77438e+07,1872.29,6.3425,6955.4,-2.62948e+07,-99.8663,43.6575,47876.3,1.0000,0.9898,1.0000,0.0656,0.9688,1.0000,0.9999,0.9998,0.9996,0.9809,0.0233,0.0541,0.0200,0.9573,0.0600,0.0000,0.0000,0.0200,0.0400,0.0919
0.583333,1,race_to_bottom,-0.5923,0.8090,0.2167,0.200,1.32144e+08,5.46122e+06,45781.2,9.26495e+08,7.99858e+08,6.39886e+08,1.59972e+08,2409.99,1.55221e+08,3093.53,10.8375,11884.8,-2.30774e+07,345.585,39.1625,42946.9,1.0000,0.9997,1.0000,0.0656,0.9862,0.9999,0.9998,0.9998,0.9819,0.0572,0.0400,0.0200,0.0416,0.9573,0.0600,0.0000,0.0280,0.0200,0.0400,0.9600
