mu,lam,regime,p_rtb,h_ss,s_ss
0.02,0.1,green_club,0.250,0.271,0.788
0.025379,0.1,green_club,0.000,0.126,0.953
0.032205,0.1,green_club,0.000,0.170,0.930
0.040867,0.1,green_club,0.000,0.193,0.931
0.051859,0.1,green_club,0.000,0.243,0.822
0.065807,0.1,green_club,0.000,0.278,0.782
0.083506,0.1,transitional,0.000,0.422,0.664
0.10597,0.1,green_club,0.250,0.495,0.567
0.13447,0.1,transitional,0.250,0.506,0.577
0.17063,0.1,race_to_bottom,0.500,0.558,0.518
0.21653,0.1,race_to_bottom,0.500,0.593,0.473
0.27476,0.1,transitional,0.250,0.532,0.526
0.34867,0.1,transitional,0.250,0.593,0.462
0.44244,0.1,transitional,0.250,0.729,0.315
0.56144,0.1,race_to_bottom,1.000,0.812,0.197
0.71245,0.1,transitional,0.250,0.691,0.367
0.90407,0.1,race_to_bottom,0.750,0.772,0.243
1.1472,0.1,transitional,0.250,0.617,0.424
1.4558,0.1,race_to_bottom,0.750,0.782,0.254
1.8473,0.1,race_to_bottom,1.000,0.812,0.196
2.3442,0.1,race_to_bottom,0.750,0.809,0.248
2.9747,0.1,transitional,0.250,0.607,0.443
3.7748,0.1,race_to_bottom,0.500,0.756,0.298
4.7901,0.1,race_to_bottom,0.500,0.755,0.290
6.0784,0.1,race_to_bottom,0.500,0.749,0.288
7.7132,0.1,race_to_bottom,0.750,0.787,0.218
9.7878,0.1,race_to_bottom,0.500,0.635,0.396
12.42,0.1,transitional,0.250,0.664,0.307
15.761,0.1,green_club,0.000,0.294,0.622
20,0.1,green_club,0.000,0.181,0.783
0.02,0.11444,green_club,0.000,0.086,0.959
0.025379,0.11444,green_club,0.000,0.089,0.962
0.032205,0.11444,green_club,0.000,0.226,0.840
0.040867,0.11444,green_club,0.000,0.124,0.952
0.051859,0.11444,green_club,0.250,0.309,0.745
0.065807,0.11444,green_club,0.250,0.237,0.808
0.083506,0.11444,green_club,0.250,0.356,0.750
0.10597,0.11444,green_club,0.250,0.325,0.751
0.13447,0.11444,green_club,0.250,0.316,0.760
0.17063,0.11444,transitional,0.250,0.591,0.485
0.21653,0.11444,transitional,0.250,0.540,0.533
0.27476,0.11444,transitional,0.250,0.568,0.480
0.34867,0.11444,race_to_bottom,0.500,0.650,0.386
0.44244,0.11444,race_to_bottom,0.500,0.546,0.485
0.56144,0.11444,green_club,0.250,0.546,0.514
0.71245,0.11444,race_to_bottom,0.750,0.794,0.216
