phi,delta_loc,regime,p_rtb,h_ss,s_ss
0,200,green_club,0.000,0.020,0.980
86.207,200,green_club,0.000,0.018,0.980
172.41,200,green_club,0.000,0.018,0.980
258.62,200,green_club,0.000,0.020,0.980
344.83,200,race_to_bottom,1.000,0.993,0.031
431.03,200,race_to_bottom,1.000,0.997,0.015
517.24,200,race_to_bottom,1.000,0.996,0.015
603.45,200,race_to_bottom,1.000,0.997,0.015
689.66,200,race_to_bottom,1.000,0.997,0.015
775.86,200,race_to_bottom,1.000,0.997,0.015
862.07,200,race_to_bottom,1.000,0.996,0.015
948.28,200,race_to_bottom,1.000,0.996,0.015
1034.5,200,race_to_bottom,1.000,0.996,0.015
1120.7,200,race_to_bottom,1.000,0.996,0.015
1206.9,200,race_to_bottom,1.000,0.996,0.015
1293.1,200,race_to_bottom,1.000,0.996,0.015
1379.3,200,race_to_bottom,1.000,0.996,0.015
1465.5,200,race_to_bottom,1.000,0.996,0.015
1551.7,200,race_to_bottom,1.000,0.996,0.015
1637.9,200,race_to_bottom,1.000,0.996,0.015
1724.1,200,race_to_bottom,1.000,0.996,0.015
1810.3,200,race_to_bottom,1.000,0.996,0.015
1896.6,200,race_to_bottom,1.000,0.996,0.015
1982.8,200,race_to_bottom,1.000,0.996,0.015
2069,200,race_to_bottom,1.000,0.996,0.015
2155.2,200,race_to_bottom,1.000,0.996,0.015
2241.4,200,race_to_bottom,1.000,0.996,0.015
2327.6,200,race_to_bottom,1.000,0.996,0.015
2413.8,200,race_to_bottom,1.000,0.996,0.015
2500,200,race_to_bottom,1.000,0.996,0.015
0,244.83,green_club,0.000,0.020,0.980
86.207,244.83,green_club,0.000,0.018,0.980
172.41,244.83,green_club,0.000,0.018,0.980
258.62,244.83,green_club,0.000,0.017,0.980
344.83,244.83,green_club,0.000,0.047,0.964
431.03,244.83,race_to_bottom,1.000,0.995,0.028
517.24,244.83,race_to_bottom,1.000,0.997,0.015
603.45,244.83,race_to_bottom,1.000,0.996,0.015
689.66,244.83,race_to_bottom,1.000,0.997,0.020
775.86,244.83,race_to_bottom,1.000,0.997,0.015
862.07,244.83,race_to_bottom,1.000,0.997,0.015
948.28,244.83,race_to_bottom,1.000,0.997,0.015
1034.5,244.83,race_to_bottom,1.000,0.996,0.015
1120.7,244.83,race_to_bottom,1.000,0.996,0.015
1206.9,244.83,race_to_bottom,1.000,0.996,0.015
1293.1,244.83,race_to_bottom,1.000,0.996,0.015
1379.3,244.83,race_to_bottom,1.000,0.996,0.015
1465.5,244.83,race_to_bottom,1.000,0.996,0.015
1551.7,244.83,race_to_bottom,1.000,0.996,0.015
1637.9,244.83,race_to_bottom,1.000,0.996,0.015
1724.1,244.83,race_to_bottom,1.000,0.996,0.015
1810.3,244.83,race_to_bottom,1.000,0.996,0.015
1896.6,244.83,race_to_bottom,1.000,0.996,0.015
1982.8,244.83,race_to_bottom,1.000,0.996,0.015
2069,244.83,race_to_bottom,1.000,0.996,0.015
2155.2,244.83,race_to_bottom,1.000,0.996,0.015
2241.4,244.83,race_to_bottom,1.000,0.996,0.015
2327.6,244.83,race_to_bottom,1.000,0.996,0.015
2413.8,244.83,race_to_bottom,1.000,0.996,0.015
2500,244.83,race_to_bottom,1.000,0.996,0.015
0,289.66,green_club,0.000,0.020,0.980
86.207,289.66,green_club,0.000,0.018,0.980
172.41,289.66,green_club,0.000,0.018,0.980
258.62,289.66,green_club,0.000,0.018,0.980
344.83,289.66,green_club,0.000,0.019,0.980
431.03,289.66,race_to_bottom,0.500,0.507,0.506
517.24,289.66,race_to_bottom,1.000,0.997,0.021
603.45,289.66,race_to_bottom,1.000,0.997,0.015
689.66,289.66,race_to_bottom,1.000,0.996,0.015
775.86,289.66,race_to_bottom,1.000,0.997,0.015
862.07,289.66,race_to_bottom,1.000,0.997,0.015
948.28,289.66,race_to_bottom,1.000,0.997,0.015
1034.5,289.66,race_to_bottom,1.000,0.997,0.015
1120.7,289.66,race_to_bottom,1.000,0.997,0.015
1206.9,289.66,race_to_bottom,1.000,0.996,0.015
1293.1,289.66,race_to_bottom,1.000,0.996,0.015
1379.3,289.66,race_to_bottom,1.000,0.996,0.015
1465.5,289.66,race_to_bottom,1.000,0.996,0.015
1551.7,289.66,race_to_bottom,1.000,0.996,0.015
1637.9,289.66,race_to_bottom,1.000,0.996,0.015
1724.1,289.66,race_to_bottom,1.000,0.996,0.015
1810.3,289.66,race_to_bottom,1.000,0.996,0.015
1896.6,289.66,race_to_bottom,1.000,0.996,0.015
1982.8,289.66,race_to_bottom,1.000,0.996,0.015
2069,289.66,race_to_bottom,1.000,0.996,0.015
2155.2,289.66,race_to_bottom,1.000,0.996,0.015
2241.4,289.66,race_to_bottom,1.000,0.996,0.015
2327.6,289.66,race_to_bottom,1.000,0.996,0.015
2413.8,289.66,race_to_bottom,1.000,0.996,0.015
2500,289.66,race_to_bottom,1.000,0.996,0.015
0,334.48,green_club,0.000,0.020,0.980
86.207,334.48,green_club,0.000,0.018,0.980
172.41,334.48,green_club,0.000,0.018,0.980
258.62,334.48,green_club,0.000,0.018,0.980
344.83,334.48,green_club,0.000,0.017,0.980
431.03,334.48,green_club,0.000,0.024,0.980
517.24,334.48,race_to_bottom,0.750,0.752,0.271
603.45,334.48,race_to_bottom,1.000,0.997,0.015
689.66,334.48,race_to_bottom,1.000,0.997,0.015
775.86,334.48,race_to_bottom,1.000,0.996,0.015
862.07,334.48,race_to_bottom,1.000,0.996,0.015
948.28,334.48,race_to_bottom,1.000,0.997,0.020
1034.5,334.48,race_to_bottom,1.000,0.997,0.015
1120.7,334.48,race_to_bottom,1.000,0.997,0.015
1206.9,334.48,race_to_bottom,1.000,0.997,0.015
1293.1,334.48,race_to_bottom,1.000,0.997,0.015
1379.3,334.48,race_to_bottom,1.000,0.996,0.015
1465.5,334.48,race_to_bottom,1.000,0.996,0.015
1551.7,334.48,race_to_bottom,1.000,0.996,0.015
1637.9,334.48,race_to_bottom,1.000,0.996,0.015
1724.1,334.48,race_to_bottom,1.000,0.996,0.015
1810.3,334.48,race_to_bottom,1.000,0.996,0.015
1896.6,334.48,race_to_bottom,1.000,0.996,0.015
1982.8,334.48,race_to_bottom,1.000,0.996,0.015
2069,334.48,race_to_bottom,1.000,0.996,0.015
2155.2,334.48,race_to_bottom,1.000,0.996,0.015
2241.4,334.48,race_to_bottom,1.000,0.996,0.015
2327.6,334.48,race_to_bottom,1.000,0.996,0.015
2413.8,334.48,race_to_bottom,1.000,0.996,0.015
2500,334.48,race_to_bottom,1.000,0.996,0.015
0,379.31,green_club,0.000,0.020,0.980
86.207,379.31,green_club,0.000,0.018,0.980
172.41,379.31,green_club,0.000,0.018,0.980
258.62,379.31,green_club,0.000,0.018,0.980
344.83,379.31,green_club,0.000,0.018,0.980
431.03,379.31,green_club,0.000,0.019,0.980
517.24,379.31,green_club,0.000,0.019,0.980
603.45,379.31,race_to_bottom,1.000,0.990,0.041
689.66,379.31,race_to_bottom,1.000,0.997,0.015
775.86,379.31,race_to_bottom,1.000,0.997,0.015
862.07,379.31,race_to_bottom,1.000,0.997,0.015
948.28,379.31,race_to_bottom,1.000,0.996,0.015
1034.5,379.31,race_to_bottom,1.000,0.997,0.020
1120.7,379.31,race_to_bottom,1.000,0.997,0.015
1206.9,379.31,race_to_bottom,1.000,0.997,0.015
1293.1,379.31,race_to_bottom,1.000,0.997,0.015
1379.3,379.31,race_to_bottom,1.000,0.997,0.015
1465.5,379.31,race_to_bottom,1.000,0.997,0.015
1551.7,379.31,race_to_bottom,1.000,0.996,0.015
1637.9,379.31,race_to_bottom,1.000,0.996,0.015
1724.1,379.31,race_to_bottom,1.000,0.996,0.015
1810.3,379.31,race_to_bottom,1.000,0.996,0.015
1896.6,379.31,race_to_bottom,1.000,0.996,0.015
1982.8,379.31,race_to_bottom,1.000,0.996,0.015
2069,379.31,race_to_bottom,1.000,0.996,0.015
2155.2,379.31,race_to_bottom,1.000,0.996,0.015
2241.4,379.31,race_to_bottom,1.000,0.996,0.015
2327.6,379.31,race_to_bottom,1.000,0.996,0.015
2413.8,379.31,race_to_bottom,1.000,0.996,0.015
2500,379.31,race_to_bottom,1.000,0.996,0.015
0,424.14,green_club,0.000,0.020,0.980
86.207,424.14,green_club,0.000,0.018,0.980
172.41,424.14,green_club,0.000,0.018,0.980
258.62,424.14,green_club,0.000,0.018,0.980
344.83,424.14,green_club,0.000,0.018,0.980
431.03,424.14,green_club,0.000,0.017,0.980
517.24,424.14,green_club,0.000,0.019,0.980
603.45,424.14,green_club,0.000,0.021,0.980
689.66,424.14,race_to_bottom,1.000,0.998,0.028
775.86,424.14,race_to_bottom,1.000,0.997,0.015
862.07,424.14,race_to_bottom,1.000,0.997,0.015
948.28,424.14,race_to_bottom,1.000,0.997,0.015
1034.5,424.14,race_to_bottom,1.000,0.996,0.015
1120.7,424.14,race_to_bottom,1.000,0.997,0.015
1206.9,424.14,race_to_bottom,1.000,0.997,0.015
1293.1,424.14,race_to_bottom,1.000,0.997,0.015
1379.3,424.14,race_to_bottom,1.000,0.997,0.015
1465.5,424.14,race_to_bottom,1.000,0.997,0.015
1551.7,424.14,race_to_bottom,1.000,0.997,0.015
1637.9,424.14,race_to_bottom,1.000,0.997,0.015
1724.1,424.14,race_to_bottom,1.000,0.996,0.015
1810.3,424.14,race_to_bottom,1.000,0.996,0.015
1896.6,424.14,race_to_bottom,1.000,0.996,0.015
1982.8,424.14,race_to_bottom,1.000,0.996,0.015
2069,424.14,race_to_bottom,1.000,0.996,0.015
2155.2,424.14,race_to_bottom,1.000,0.996,0.015
2241.4,424.14,race_to_bottom,1.000,0.996,0.015
2327.6,424.14,race_to_bottom,1.000,0.996,0.015
