mu,lam,regime,R,h_mean,s_mean,p_green,topology,k,m
0.02,0.1,green_club,0.6142,0.2714,0.8856,0.625,ba,2,1
0.0253792,0.1,transitional,0.5052,0.3008,0.8061,0.375,ba,2,1
0.0322052,0.1,transitional,0.2959,0.4333,0.7293,0.375,ba,2,1
0.0408672,0.1,transitional,0.1555,0.4772,0.6326,0.375,ba,2,1
0.0518589,0.1,green_club,0.3445,0.3802,0.7247,0.500,ba,2,1
0.0658069,0.1,race_to_bottom,0.0644,0.5348,0.5992,0.375,ba,2,1
0.0835064,0.1,transitional,-0.1250,0.6017,0.4767,0.250,ba,2,1
0.105966,0.1,transitional,-0.2043,0.6450,0.4407,0.125,ba,2,1
0.134467,0.1,race_to_bottom,-0.1769,0.6351,0.4583,0.125,ba,2,1
0.170634,0.1,race_to_bottom,-0.3554,0.7047,0.3493,0.000,ba,2,1
0.216527,0.1,transitional,-0.2238,0.6483,0.4245,0.125,ba,2,1
0.274765,0.1,race_to_bottom,-0.3060,0.6733,0.3673,0.125,ba,2,1
0.348666,0.1,race_to_bottom,-0.3984,0.7319,0.3334,0.000,ba,2,1
0.442443,0.1,race_to_bottom,-0.4665,0.7591,0.2926,0.000,ba,2,1
0.561443,0.1,race_to_bottom,-0.5837,0.8103,0.2266,0.125,ba,2,1
0.71245,0.1,race_to_bottom,-0.6261,0.8310,0.2049,0.000,ba,2,1
0.904071,0.1,race_to_bottom,-0.6298,0.8332,0.2034,0.000,ba,2,1
1.14723,0.1,race_to_bottom,-0.4881,0.7721,0.2840,0.000,ba,2,1
1.45579,0.1,race_to_bottom,-0.5264,0.7918,0.2654,0.000,ba,2,1
1.84734,0.1,race_to_bottom,-0.5759,0.8114,0.2354,0.000,ba,2,1
2.3442,0.1,race_to_bottom,-0.5651,0.8175,0.2523,0.000,ba,2,1
2.9747,0.1,race_to_bottom,-0.5151,0.7855,0.2704,0.000,ba,2,1
3.77478,0.1,race_to_bottom,-0.5324,0.7978,0.2654,0.000,ba,2,1
4.79005,0.1,race_to_bottom,-0.6734,0.8511,0.1777,0.000,ba,2,1
6.07839,0.1,race_to_bottom,-0.5412,0.8015,0.2603,0.000,ba,2,1
7.71324,0.1,race_to_bottom,-0.5264,0.7860,0.2596,0.000,ba,2,1
9.7878,0.1,race_to_bottom,-0.4883,0.7577,0.2694,0.000,ba,2,1
12.4203,0.1,race_to_bottom,-0.3665,0.6759,0.3094,0.000,ba,2,1
15.7609,0.1,transitional,-0.0251,0.3952,0.3701,0.000,ba,2,1
20,0.1,transitional,0.3946,0.2190,0.6136,0.500,ba,2,1
0.02,0.114442,green_club,0.6536,0.2308,0.8844,0.750,ba,2,1
0.0253792,0.114442,green_club,0.3912,0.3600,0.7512,0.500,ba,2,1
0.0322052,0.114442,green_club,0.5394,0.2952,0.8346,0.625,ba,2,1
0.0408672,0.114442,transitional,0.2617,0.4260,0.6877,0.375,ba,2,1
0.0518589,0.114442,green_club,0.1802,0.4420,0.6222,0.500,ba,2,1
0.0658069,0.114442,transitional,0.0642,0.5279,0.5921,0.125,ba,2,1
0.0835064,0.114442,race_to_bottom,-0.1453,0.6146,0.4694,0.250,ba,2,1
0.105966,0.114442,transitional,-0.1210,0.6037,0.4828,0.125,ba,2,1
0.134467,0.114442,race_to_bottom,-0.2050,0.6375,0.4326,0.250,ba,2,1
0.170634,0.114442,race_to_bottom,-0.4631,0.7579,0.2947,0.125,ba,2,1
0.216527,0.114442,race_to_bottom,-0.3889,0.7244,0.3355,0.125,ba,2,1
0.274765,0.114442,race_to_bottom,-0.3528,0.7054,0.3526,0.125,ba,2,1
0.348666,0.114442,race_to_bottom,-0.3620,0.7118,0.3498,0.000,ba,2,1
0.442443,0.114442,race_to_bottom,-0.5111,0.7736,0.2625,0.125,ba,2,1
