mu,lam,regime,R,h_mean,s_mean,p_green,topology,k,m
0.02,0.1,green_club,0.6912,0.1815,0.8728,0.875,er,3,
0.0253792,0.1,green_club,0.8113,0.1328,0.9442,0.750,er,3,
0.0322052,0.1,green_club,0.7246,0.1806,0.9052,0.750,er,3,
0.0408672,0.1,green_club,0.4416,0.3365,0.7780,0.625,er,3,
0.0518589,0.1,green_club,0.6341,0.2320,0.8661,0.750,er,3,
0.0658069,0.1,green_club,0.5560,0.2697,0.8257,0.750,er,3,
0.0835064,0.1,green_club,0.2759,0.4169,0.6928,0.625,er,3,
0.105966,0.1,race_to_bottom,-0.0713,0.5701,0.4989,0.375,er,3,
0.134467,0.1,transitional,0.0498,0.5209,0.5707,0.375,er,3,
0.170634,0.1,race_to_bottom,-0.2970,0.6754,0.3784,0.250,er,3,
0.216527,0.1,race_to_bottom,-0.2439,0.6556,0.4117,0.125,er,3,
0.274765,0.1,race_to_bottom,-0.2851,0.6670,0.3819,0.125,er,3,
0.348666,0.1,transitional,-0.2724,0.6681,0.3957,0.000,er,3,
0.442443,0.1,race_to_bottom,-0.5991,0.8144,0.2153,0.000,er,3,
0.561443,0.1,race_to_bottom,-0.6953,0.8469,0.1515,0.000,er,3,
0.71245,0.1,race_to_bottom,-0.5068,0.7719,0.2651,0.000,er,3,
0.904071,0.1,race_to_bottom,-0.6057,0.8098,0.2041,0.000,er,3,
1.14723,0.1,race_to_bottom,-0.4769,0.7571,0.2802,0.000,er,3,
1.45579,0.1,race_to_bottom,-0.6328,0.8311,0.1984,0.000,er,3,
1.84734,0.1,race_to_bottom,-0.6589,0.8413,0.1823,0.000,er,3,
2.3442,0.1,race_to_bottom,-0.6656,0.8465,0.1809,0.000,er,3,
2.9747,0.1,race_to_bottom,-0.4216,0.7274,0.3058,0.125,er,3,
3.77478,0.1,race_to_bottom,-0.5919,0.8133,0.2214,0.000,er,3,
4.79005,0.1,race_to_bottom,-0.6581,0.8420,0.1839,0.000,er,3,
6.07839,0.1,race_to_bottom,-0.6300,0.8290,0.1990,0.000,er,3,
7.71324,0.1,race_to_bottom,-0.6247,0.8256,0.2009,0.000,er,3,
9.7878,0.1,race_to_bottom,-0.3929,0.7078,0.3149,0.125,er,3,
12.4203,0.1,race_to_bottom,-0.4355,0.7027,0.2671,0.000,er,3,
15.7609,0.1,transitional,0.1234,0.3798,0.5031,0.375,er,3,
20,0.1,transitional,0.5003,0.1824,0.6827,0.500,er,3,
0.02,0.114442,green_club,0.9006,0.0676,0.9682,1.000,er,3,
0.0253792,0.114442,green_club,0.9005,0.0738,0.9743,1.000,er,3,
0.0322052,0.114442,green_club,0.7185,0.1791,0.8976,0.875,er,3,
0.0408672,0.114442,green_club,0.7479,0.1768,0.9247,0.750,er,3,
0.0518589,0.114442,green_club,0.3969,0.3476,0.7446,0.625,er,3,
0.0658069,0.114442,green_club,0.5232,0.2715,0.7947,0.750,er,3,
0.0835064,0.114442,green_club,0.5389,0.2778,0.8167,0.625,er,3,
0.105966,0.114442,green_club,0.2767,0.4104,0.6871,0.625,er,3,
0.134467,0.114442,green_club,0.2809,0.3851,0.6660,0.625,er,3,
0.170634,0.114442,transitional,-0.1104,0.5973,0.4868,0.125,er,3,
0.216527,0.114442,race_to_bottom,-0.1111,0.5875,0.4763,0.250,er,3,
0.274765,0.114442,race_to_bottom,-0.2080,0.6341,0.4261,0.250,er,3,
0.348666,0.114442,race_to_bottom,-0.5421,0.7807,0.2386,0.125,er,3,
0.442443,0.114442,race_to_bottom,-0.4368,0.7306,0.2939,0.125,er,3,
0.561443,0.114442,race_to_bottom,-0.3959,0.7217,0.3258,0.250,er,3,
0.71245,0.114442,race_to_bottom,-0.7079,0.8598,0.1519,0.000,er,3,
0.904071,0.114442,race_to_bottom,-0.5397,0.7847,0.2450,0.000,er,3,
1.14723,0.114442,race_to_bottom,-0.5749,0.8001,0.2252,0.000,er,3,
1.45579,0.114442,race_to_bottom,-0.5277,0.7795,0.2518,0.000,er,3,
1.84734,0.114442,race_to_bottom,-0.7213,0.8818,0.1604,0.000,er,3,
2.3442,0.114442,race_to_bottom,-0.7129,0.8655,0.1526,0.000,er,3,
2.9747,0.114442,race_to_bottom,-0.5638,0.7967,0.2329,0.000,er,3,
3.77478,0.114442,race_to_bottom,-0.4850,0.7558,0.2708,0.125,er,3,
4.79005,0.114442,race_to_bottom,-0.7119,0.8625,0.1506,0.000,er,3,
6.07839,0.114442,race_to_bottom,-0.7647,0.8911,0.1264,0.000,er,3,
7.71324,0.114442,race_to_bottom,-0.6366,0.8308,0.1943,0.000,er,3,
9.7878,0.114442,race_to_bottom,-0.6616,0.8516,0.1900,0.000,er,3,
12.4203,0.114442,race_to_bottom,-0.4753,0.7361,0.2608,0.000,er,3,
15.7609,0.114442,transitional,0.1142,0.3766,0.4908,0.125,er,3,
20,0.114442,green_club,0.5146,0.2017,0.7162,0.750,er,3,
0.02,0.13097,green_club,0.9320,0.0484,0.9804,1.000,er,3,
0.0253792,0.13097,green_club,0.9046,0.0611,0.9657,1.000,er,3,
0.0322052,0.13097,green_club,0.7606,0.1466,0.9072,0.875,er,3,
0.0408672,0.13097,green_club,0.7158,0.1683,0.8841,0.875,er,3,
0.0518589,0.13097,green_club,0.6076,0.2400,0.8476,0.625,er,3,
0.0658069,0.13097,green_club,0.7590,0.1371,0.8961,0.875,er,3,
0.0835064,0.13097,green_club,0.7631,0.1548,0.9179,0.875,er,3,
0.105966,0.13097,green_club,0.5083,0.2705,0.7788,0.750,er,3,
0.134467,0.13097,green_club,0.3826,0.3397,0.7223,0.625,er,3,
0.170634,0.13097,race_to_bottom,-0.4327,0.7505,0.3178,0.000,er,3,
0.216527,0.13097,race_to_bottom,-0.3635,0.7130,0.3495,0.000,er,3,
0.274765,0.13097,race_to_bottom,-0.2499,0.6570,0.4071,0.125,er,3,
0.348666,0.13097,race_to_bottom,-0.3934,0.7176,0.3242,0.125,er,3,
0.442443,0.13097,race_to_bottom,-0.3295,0.6940,0.3645,0.125,er,3,
0.561443,0.13097,race_to_bottom,-0.5714,0.8053,0.2339,0.125,er,3,
0.71245,0.13097,race_to_bottom,-0.4679,0.7548,0.2869,0.125,er,3,
0.904071,0.13097,race_to_bottom,-0.6628,0.8481,0.1853,0.000,er,3,
1.14723,0.13097,race_to_bottom,-0.4931,0.7625,0.2694,0.125,er,3,
1.45579,0.13097,race_to_bottom,-0.7140,0.8722,0.1582,0.000,er,3,
1.84734,0.13097,race_to_bottom,-0.7583,0.8875,0.1292,0.000,er,3,
2.3442,0.13097,race_to_bottom,-0.7128,0.8656,0.1528,0.000,er,3,
2.9747,0.13097,race_to_bottom,-0.7720,0.8948,0.1227,0.000,er,3,
3.77478,0.13097,race_to_bottom,-0.7989,0.9095,0.1107,0.000,er,3,
4.79005,0.13097,race_to_bottom,-0.7373,0.8841,0.1468,0.000,er,3,
6.07839,0.13097,race_to_bottom,-0.8196,0.9233,0.1036,0.000,er,3,
7.71324,0.13097,race_to_bottom,-0.8105,0.9206,0.1102,0.000,er,3,
9.7878,0.13097,race_to_bottom,-0.6685,0.8448,0.1763,0.000,er,3,
12.4203,0.13097,race_to_bottom,-0.4677,0.7364,0.2687,0.125,er,3,
15.7609,0.13097,transitional,0.1350,0.3807,0.5157,0.000,er,3,
20,0.13097,green_club,0.5785,0.1756,0.7540,0.625,er,3,
0.02,0.149884,green_club,0.7285,0.1512,0.8797,0.875,er,3,
0.0253792,0.149884,green_club,0.9446,0.0374,0.9820,1.000,er,3,
0.0322052,0.149884,green_club,0.9495,0.0330,0.9825,1.000,er,3,
0.0408672,0.149884,green_club,0.5606,0.2445,0.8052,0.750,er,3,
0.0518589,0.149884,green_club,0.8408,0.1121,0.9529,0.875,er,3,
0.0658069,0.149884,green_club,0.8732,0.0835,0.9567,0.875,er,3,
0.0835064,0.149884,green_club,0.4401,0.2931,0.7332,0.750,er,3,
0.105966,0.149884,green_club,0.3533,0.3442,0.6975,0.625,er,3,
0.134467,0.149884,green_club,0.2041,0.4410,0.6452,0.625,er,3,
0.170634,0.149884,green_club,0.1503,0.4438,0.5941,0.500,er,3,
0.216527,0.149884,transitional,0.0421,0.5080,0.5500,0.375,er,3,
0.274765,0.149884,race_to_bottom,-0.1907,0.6245,0.4338,0.250,er,3,
0.348666,0.149884,race_to_bottom,-0.4790,0.7657,0.2867,0.125,er,3,
0.442443,0.149884,race_to_bottom,-0.4978,0.7635,0.2658,0.125,er,3,
0.561443,0.149884,race_to_bottom,-0.6950,0.8634,0.1684,0.125,er,3,
0.71245,0.149884,race_to_bottom,-0.6876,0.8590,0.1714,0.000,er,3,
0.904071,0.149884,race_to_bottom,-0.5189,0.7794,0.2605,0.125,er,3,
1.14723,0.149884,race_to_bottom,-0.7747,0.9010,0.1263,0.000,er,3,
1.45579,0.149884,race_to_bottom,-0.7523,0.8902,0.1380,0.000,er,3,
1.84734,0.149884,race_to_bottom,-0.9160,0.9641,0.0481,0.000,er,3,
2.3442,0.149884,race_to_bottom,-0.7764,0.8977,0.1213,0.000,er,3,
2.9747,0.149884,race_to_bottom,-0.6766,0.8531,0.1765,0.000,er,3,
3.77478,0.149884,race_to_bottom,-0.8245,0.9201,0.0956,0.000,er,3,
4.79005,0.149884,race_to_bottom,-0.6938,0.8605,0.1667,0.125,er,3,
6.07839,0.149884,race_to_bottom,-0.7696,0.8979,0.1283,0.000,er,3,
7.71324,0.149884,race_to_bottom,-0.8315,0.9282,0.0967,0.000,er,3,
9.7878,0.149884,race_to_bottom,-0.6916,0.8511,0.1595,0.125,er,3,
12.4203,0.149884,race_to_bottom,-0.6254,0.8103,0.1849,0.000,er,3,
15.7609,0.149884,transitional,0.2180,0.3573,0.5753,0.125,er,3,
20,0.149884,green_club,0.6140,0.1402,0.7541,0.625,er,3,
0.02,0.17153,green_club,0.9419,0.0356,0.9775,1.000,er,3,
0.0253792,0.17153,green_club,0.9426,0.0349,0.9775,1.000,er,3,
0.0322052,0.17153,green_club,0.9261,0.0491,0.9752,1.000,er,3,
0.0408672,0.17153,green_club,0.9397,0.0345,0.9742,1.000,er,3,
0.0518589,0.17153,green_club,0.9452,0.0323,0.9775,1.000,er,3,
0.0658069,0.17153,green_club,0.6992,0.1558,0.8550,0.875,er,3,
0.0835064,0.17153,green_club,0.6870,0.1650,0.8520,0.875,er,3,
0.105966,0.17153,green_club,0.4428,0.2894,0.7322,0.750,er,3,
