lam,mu_star,mu_star_over_lam
0.1,0.51016,5.101623257974217
0.11444,0.52411,4.579666921010187
0.13097,0.81079,6.1906503493979175
0.14988,0.55245,3.6858466124942053
0.17153,0.62661,3.6530569471441536
0.1963,0.68752,3.5023509571131766
0.22465,0.95603,4.255611176849992
0.2571,1.8739,7.28879985298721
0.29423,0.73737,2.5061290580241335
0.33672,1.108,3.2905764197514835
0.38535,0.86897,2.2550433625231694
0.441,1.5156,3.436757495555588
0.50469,1.3203,2.616167227899583
0.57757,2.0476,3.54515371840636
0.66099,1.7745,2.6845853521680705
0.75645,2.3121,3.0565486197986025
0.86569,3.9667,4.58211705363556
0.99071,3.5596,3.593006299210683
1.1338,2.799,2.468666929201428
1.2975,2.2094,1.7027456956955414
1.4849,4.057,2.732112538783912
1.6994,3.7748,2.221301815094028
1.9448,4.5141,2.3211405744495366
2.2257,5.5786,2.506486242151997
2.5471,6.1093,2.3985298295289037
2.9149,6.8537,2.35123244340612
3.3359,10.468,3.138029653494811
3.8177,7.7116,2.019972539303338
4.369,9.5965,2.196488706744364
5,8.7193,1.7438600361832466
