mu,lam,regime,R,h_mean,s_mean,p_green,topology,k,m
0.02,0.1,green_club,0.6024,0.2636,0.8659,0.625,ring,4,
0.0253792,0.1,green_club,0.6852,0.2019,0.8871,0.750,ring,4,
0.0322052,0.1,green_club,0.5525,0.2765,0.8290,0.875,ring,4,
0.0408672,0.1,transitional,0.2424,0.4213,0.6636,0.375,ring,4,
0.0518589,0.1,transitional,0.2767,0.4203,0.6970,0.375,ring,4,
0.0658069,0.1,transitional,0.2369,0.4310,0.6679,0.375,ring,4,
0.0835064,0.1,transitional,-0.0467,0.5664,0.5197,0.125,ring,4,
0.105966,0.1,race_to_bottom,-0.2293,0.6457,0.4163,0.250,ring,4,
0.134467,0.1,transitional,-0.1879,0.6285,0.4406,0.125,ring,4,
0.170634,0.1,race_to_bottom,-0.5693,0.8049,0.2356,0.000,ring,4,
0.216527,0.1,race_to_bottom,-0.8132,0.9098,0.0966,0.000,ring,4,
0.274765,0.1,race_to_bottom,-0.4660,0.7517,0.2857,0.125,ring,4,
0.348666,0.1,race_to_bottom,-0.7458,0.8832,0.1375,0.000,ring,4,
0.442443,0.1,race_to_bottom,-0.7438,0.8841,0.1404,0.000,ring,4,
0.561443,0.1,race_to_bottom,-0.8133,0.9171,0.1038,0.000,ring,4,
0.71245,0.1,race_to_bottom,-0.9360,0.9719,0.0359,0.000,ring,4,
0.904071,0.1,race_to_bottom,-0.8453,0.9315,0.0862,0.000,ring,4,
1.14723,0.1,race_to_bottom,-0.8845,0.9402,0.0557,0.000,ring,4,
1.45579,0.1,race_to_bottom,-0.7700,0.8943,0.1243,0.000,ring,4,
1.84734,0.1,race_to_bottom,-0.8225,0.9168,0.0943,0.000,ring,4,
2.3442,0.1,race_to_bottom,-0.9345,0.9649,0.0304,0.000,ring,4,
2.9747,0.1,race_to_bottom,-0.8415,0.9304,0.0889,0.000,ring,4,
3.77478,0.1,race_to_bottom,-0.9307,0.9681,0.0374,0.000,ring,4,
4.79005,0.1,race_to_bottom,-0.9246,0.9654,0.0408,0.000,ring,4,
6.07839,0.1,race_to_bottom,-0.8211,0.9129,0.0919,0.000,ring,4,
7.71324,0.1,race_to_bottom,-0.8232,0.9126,0.0894,0.000,ring,4,
9.7878,0.1,race_to_bottom,-0.8884,0.9467,0.0583,0.000,ring,4,
12.4203,0.1,race_to_bottom,-0.7657,0.8704,0.1047,0.000,ring,4,
15.7609,0.1,transitional,-0.1098,0.4938,0.3840,0.000,ring,4,
20,0.1,transitional,0.2309,0.2564,0.4873,0.000,ring,4,
0.02,0.114442,green_club,0.6691,0.2158,0.8849,0.750,ring,4,
0.0253792,0.114442,green_club,0.6268,0.2423,0.8691,0.750,ring,4,
0.0322052,0.114442,green_club,0.5105,0.2944,0.8049,0.750,ring,4,
0.0408672,0.114442,green_club,0.6353,0.2237,0.8590,0.875,ring,4,
0.0518589,0.114442,green_club,0.5859,0.2528,0.8387,0.625,ring,4,
0.0658069,0.114442,transitional,0.1164,0.4929,0.6093,0.375,ring,4,
0.0835064,0.114442,transitional,0.0913,0.4886,0.5798,0.375,ring,4,
0.105966,0.114442,race_to_bottom,-0.3549,0.7144,0.3595,0.125,ring,4,
0.134467,0.114442,race_to_bottom,-0.3388,0.6989,0.3601,0.250,ring,4,
0.170634,0.114442,race_to_bottom,-0.6334,0.8336,0.2002,0.000,ring,4,
0.216527,0.114442,race_to_bottom,-0.7648,0.8896,0.1248,0.000,ring,4,
0.274765,0.114442,race_to_bottom,-0.8183,0.9144,0.0962,0.000,ring,4,
0.348666,0.114442,race_to_bottom,-0.5109,0.7660,0.2550,0.125,ring,4,
0.442443,0.114442,race_to_bottom,-0.9502,0.9763,0.0261,0.000,ring,4,
0.561443,0.114442,race_to_bottom,-0.8933,0.9487,0.0555,0.000,ring,4,
0.71245,0.114442,race_to_bottom,-0.8925,0.9534,0.0609,0.000,ring,4,
0.904071,0.114442,race_to_bottom,-0.8711,0.9444,0.0733,0.000,ring,4,
1.14723,0.114442,race_to_bottom,-0.9614,0.9824,0.0210,0.000,ring,4,
1.45579,0.114442,race_to_bottom,-0.8724,0.9414,0.0691,0.000,ring,4,
1.84734,0.114442,race_to_bottom,-0.8812,0.9431,0.0619,0.000,ring,4,
2.3442,0.114442,race_to_bottom,-0.9097,0.9560,0.0463,0.000,ring,4,
2.9747,0.114442,race_to_bottom,-0.9517,0.9767,0.0250,0.000,ring,4,
3.77478,0.114442,race_to_bottom,-0.9696,0.9840,0.0144,0.000,ring,4,
4.79005,0.114442,race_to_bottom,-0.9594,0.9781,0.0187,0.000,ring,4,
6.07839,0.114442,race_to_bottom,-0.9579,0.9807,0.0228,0.000,ring,4,
7.71324,0.114442,race_to_bottom,-0.9526,0.9747,0.0221,0.000,ring,4,
9.7878,0.114442,race_to_bottom,-0.8746,0.9360,0.0614,0.000,ring,4,
12.4203,0.114442,race_to_bottom,-0.7808,0.8754,0.0946,0.000,ring,4,
15.7609,0.114442,transitional,-0.2037,0.5528,0.3491,0.000,ring,4,
20,0.114442,transitional,0.2641,0.2386,0.5027,0.125,ring,4,
0.02,0.13097,green_club,0.7097,0.1606,0.8703,0.875,ring,4,
0.0253792,0.13097,green_club,0.9278,0.0617,0.9895,1.000,ring,4,
0.0322052,0.13097,green_club,0.8894,0.0833,0.9727,1.000,ring,4,
0.0408672,0.13097,green_club,0.7189,0.1603,0.8792,0.875,ring,4,
0.0518589,0.13097,green_club,0.4157,0.3123,0.7280,0.750,ring,4,
0.0658069,0.13097,transitional,0.1475,0.4656,0.6131,0.375,ring,4,
0.0835064,0.13097,race_to_bottom,-0.1242,0.5989,0.4747,0.250,ring,4,
0.105966,0.13097,race_to_bottom,-0.2579,0.6601,0.4022,0.250,ring,4,
0.134467,0.13097,race_to_bottom,-0.5729,0.8051,0.2322,0.125,ring,4,
0.170634,0.13097,race_to_bottom,-0.8104,0.9190,0.1086,0.000,ring,4,
0.216527,0.13097,race_to_bottom,-0.6144,0.8244,0.2101,0.125,ring,4,
0.274765,0.13097,race_to_bottom,-0.8567,0.9338,0.0771,0.000,ring,4,
0.348666,0.13097,race_to_bottom,-0.9573,0.9819,0.0246,0.000,ring,4,
0.442443,0.13097,race_to_bottom,-0.8495,0.9304,0.0809,0.000,ring,4,
0.561443,0.13097,race_to_bottom,-0.8388,0.9275,0.0887,0.000,ring,4,
0.71245,0.13097,race_to_bottom,-0.9405,0.9725,0.0320,0.000,ring,4,
0.904071,0.13097,race_to_bottom,-0.9374,0.9720,0.0345,0.000,ring,4,
1.14723,0.13097,race_to_bottom,-0.9297,0.9689,0.0392,0.000,ring,4,
1.45579,0.13097,race_to_bottom,-0.9753,0.9895,0.0141,0.000,ring,4,
1.84734,0.13097,race_to_bottom,-0.9487,0.9773,0.0286,0.000,ring,4,
2.3442,0.13097,race_to_bottom,-0.9954,0.9954,0.0000,0.000,ring,4,
2.9747,0.13097,race_to_bottom,-0.9856,0.9929,0.0073,0.000,ring,4,
3.77478,0.13097,race_to_bottom,-0.9799,0.9915,0.0116,0.000,ring,4,
4.79005,0.13097,race_to_bottom,-0.9707,0.9872,0.0165,0.000,ring,4,
6.07839,0.13097,race_to_bottom,-0.9554,0.9735,0.0181,0.000,ring,4,
7.71324,0.13097,race_to_bottom,-0.9302,0.9686,0.0384,0.000,ring,4,
9.7878,0.13097,race_to_bottom,-0.8399,0.9164,0.0765,0.000,ring,4,
12.4203,0.13097,race_to_bottom,-0.9363,0.9497,0.0134,0.000,ring,4,
15.7609,0.13097,transitional,-0.0653,0.4889,0.4235,0.125,ring,4,
20,0.13097,transitional,0.2621,0.2520,0.5142,0.375,ring,4,
0.02,0.149884,green_club,0.9499,0.0451,0.9951,1.000,ring,4,
0.0253792,0.149884,green_club,0.9391,0.0484,0.9875,1.000,ring,4,
0.0322052,0.149884,green_club,0.9904,0.0096,1.0000,1.000,ring,4,
0.0408672,0.149884,green_club,0.5243,0.2646,0.7890,0.750,ring,4,
0.0518589,0.149884,green_club,0.8363,0.1143,0.9506,0.875,ring,4,
0.0658069,0.149884,green_club,0.6834,0.1851,0.8685,0.875,ring,4,
0.0835064,0.149884,green_club,0.3071,0.3669,0.6739,0.500,ring,4,
0.105966,0.149884,race_to_bottom,-0.1564,0.5976,0.4412,0.375,ring,4,
0.134467,0.149884,race_to_bottom,-0.3010,0.6566,0.3556,0.375,ring,4,
0.170634,0.149884,race_to_bottom,-0.4805,0.7601,0.2796,0.125,ring,4,
0.216527,0.149884,race_to_bottom,-0.5183,0.7795,0.2612,0.125,ring,4,
0.274765,0.149884,race_to_bottom,-0.9796,0.9917,0.0121,0.000,ring,4,
0.348666,0.149884,race_to_bottom,-0.7185,0.8741,0.1556,0.000,ring,4,
0.442443,0.149884,race_to_bottom,-0.9965,0.9965,0.0000,0.000,ring,4,
0.561443,0.149884,race_to_bottom,-0.9813,0.9908,0.0095,0.000,ring,4,
0.71245,0.149884,race_to_bottom,-0.8769,0.9436,0.0667,0.000,ring,4,
0.904071,0.149884,race_to_bottom,-0.9334,0.9668,0.0335,0.000,ring,4,
1.14723,0.149884,race_to_bottom,-0.9944,0.9984,0.0039,0.000,ring,4,
1.45579,0.149884,race_to_bottom,-0.9707,0.9890,0.0184,0.000,ring,4,
1.84734,0.149884,race_to_bottom,-0.9841,0.9925,0.0084,0.000,ring,4,
2.3442,0.149884,race_to_bottom,-0.9833,0.9923,0.0090,0.000,ring,4,
2.9747,0.149884,race_to_bottom,-0.9980,0.9980,0.0000,0.000,ring,4,
3.77478,0.149884,race_to_bottom,-0.9778,0.9912,0.0134,0.000,ring,4,
4.79005,0.149884,race_to_bottom,-0.9875,0.9925,0.0050,0.000,ring,4,
6.07839,0.149884,race_to_bottom,-0.9344,0.9756,0.0411,0.000,ring,4,
7.71324,0.149884,race_to_bottom,-0.9936,0.9975,0.0039,0.000,ring,4,
9.7878,0.149884,race_to_bottom,-0.9370,0.9708,0.0338,0.000,ring,4,
