mu,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
0.02,0.1,green_club,0.5167,0.2709,0.7875,0.750,8.12975e+08,4.6117e+06,86001,1.06461e+09,2.56329e+08,2.05063e+08,5.12659e+07,14826.7,7.44826e+08,15608.5,39.3438,43145.7,6.81487e+07,8177.25,10.6562,11686,0.0851,0.8081,0.0700,0.1202,0.9406,0.2951,0.9800,0.9344
0.0253792,0.1,green_club,0.8276,0.1258,0.9533,0.750,9.63651e+08,4.3849e+06,78636.1,1.03948e+09,8.02903e+07,6.42322e+07,1.60581e+07,17574.7,9.43306e+08,17980.4,47.6562,52261.4,2.03449e+07,8002.6,2.34375,2570.23,0.0523,0.3401,0.0568,0.0539,0.9800,0.8733,0.9800,0.9800
0.0322052,0.1,green_club,0.7595,0.1704,0.9299,0.750,9.28009e+08,4.39425e+06,101429,1.04028e+09,1.16762e+08,9.34095e+07,2.33524e+07,16924.7,8.99788e+08,17471.4,46.4875,50979.7,2.82212e+07,7193.16,3.5125,3851.92,0.0551,0.4419,0.0663,0.1185,0.9800,0.7877,0.9800,0.9720
0.0408672,0.1,green_club,0.7385,0.1930,0.9315,0.750,9.2325e+08,4.38056e+06,111681,1.03865e+09,1.19895e+08,9.59161e+07,2.3979e+07,16837.9,8.94208e+08,17424.3,46.575,51075.7,2.90417e+07,7535.89,3.425,3755.97,0.0492,0.1552,0.1910,0.3767,0.9800,0.9539,0.9546,0.8375
0.0518589,0.1,green_club,0.5785,0.2434,0.8220,0.750,8.40542e+08,4.55503e+06,81861.4,1.05809e+09,2.22181e+08,1.77745e+08,4.44362e+07,15329.5,7.85077e+08,15873.6,41.0875,45057.9,5.54648e+07,7242.27,8.9125,9773.74,0.0626,0.7433,0.0777,0.0901,0.9800,0.3478,0.9800,0.9800
0.0658069,0.1,green_club,0.5042,0.2777,0.7819,0.750,7.99585e+08,4.56942e+06,91523.9,1.05953e+09,2.64603e+08,2.11683e+08,5.29207e+07,14582.5,7.21648e+08,15528,39.0875,42864.6,7.79374e+07,7801.77,10.9125,11967,0.1003,0.7348,0.0955,0.1801,0.9400,0.3733,0.9689,0.8453
0.0835064,0.1,transitional,0.2416,0.4223,0.6639,0.500,6.64694e+08,4.72535e+06,144993,1.07669e+09,4.16868e+08,3.33494e+08,8.33736e+07,12122.4,5.50057e+08,13355.9,33.2,36408.2,1.14637e+08,7365.36,16.8,18423.4,0.7036,0.6900,0.0506,0.2451,0.3345,0.4894,0.9800,0.8517
0.105966,0.1,green_club,0.0721,0.4954,0.5675,0.500,6.12153e+08,4.87013e+06,95254.7,1.09274e+09,4.85554e+08,3.88443e+08,9.71107e+07,11164.2,4.93962e+08,10941.2,28.3813,31123.8,1.18192e+08,6895.32,21.6187,23707.8,0.1644,0.9792,0.1801,0.6579,0.9298,0.0200,0.9056,0.4145
0.134467,0.1,transitional,0.0714,0.5060,0.5774,0.250,5.78693e+08,4.84453e+06,140822,1.08959e+09,5.15878e+08,4.12702e+08,1.03176e+08,10554,4.37964e+08,11488.9,28.875,31665.3,1.40729e+08,7635.74,21.125,23166.4,0.4493,0.9280,0.2869,0.3597,0.6153,0.0694,0.8310,0.7940
0.170634,0.1,race_to_bottom,-0.0397,0.5578,0.5181,0.500,5.4693e+08,4.93816e+06,111074,1.09993e+09,5.58044e+08,4.46436e+08,1.11609e+08,9974.71,4.03746e+08,10757.8,25.9,28402.8,1.43184e+08,6968.09,24.1,26428.9,0.2885,0.9258,0.2436,0.7733,0.7595,0.1085,0.9144,0.2898
0.216527,0.1,race_to_bottom,-0.1204,0.5930,0.4726,0.250,5.02231e+08,4.99335e+06,114494,1.10592e+09,6.08797e+08,4.87038e+08,1.21759e+08,9159.52,3.41389e+08,11318.6,23.6375,25921.7,1.60842e+08,6486.01,26.3625,28910,0.6808,0.8961,0.2489,0.5463,0.3140,0.1496,0.8786,0.5484
0.274765,0.1,transitional,-0.0058,0.5320,0.5261,0.250,5.42387e+08,4.91548e+06,124924,1.09729e+09,5.59941e+08,4.47953e+08,1.11988e+08,9891.86,3.87581e+08,11284.1,26.2875,28827.7,1.54806e+08,7389.44,23.7125,26003.9,0.6478,0.8700,0.5008,0.1093,0.4128,0.1880,0.5720,0.9317
0.348666,0.1,transitional,-0.1309,0.5930,0.4620,0.000,4.76956e+08,4.9905e+06,133917,1.10563e+09,6.33796e+08,5.07037e+08,1.26759e+08,8698.54,3.05996e+08,9758.02,23.0812,25311.7,1.70959e+08,6322.49,26.9187,29520,0.5104,0.9453,0.3960,0.5201,0.5362,0.0794,0.6664,0.5661
0.442443,0.1,transitional,-0.4247,0.7294,0.3048,0.000,3.46819e+08,5.2439e+06,120893,1.13362e+09,7.92169e+08,6.33735e+08,1.58434e+08,6325.17,1.41467e+08,8107.73,15.2313,16703.1,2.05352e+08,5457.2,34.7687,38128.6,0.6791,0.8640,0.6424,0.7323,0.3534,0.1572,0.3663,0.3422
0.561443,0.1,race_to_bottom,-0.6150,0.8120,0.1971,0.000,3.01282e+08,5.4109e+06,86829.1,1.15247e+09,8.56689e+08,6.85351e+08,1.71338e+08,5494.67,9.67323e+07,8500.11,9.86875,10822.4,2.0455e+08,4679.34,40.1312,44009.3,0.7694,0.9259,0.7946,0.7582,0.1876,0.0816,0.2652,0.2538
0.71245,0.1,transitional,-0.3236,0.6911,0.3675,0.000,3.90681e+08,5.15208e+06,130326,1.12322e+09,7.37818e+08,5.90255e+08,1.47564e+08,7125.1,1.93713e+08,8588.11,18.3813,20157.5,1.96968e+08,5953.34,31.6188,34674.2,0.5382,0.9131,0.7471,0.5658,0.5321,0.1098,0.3552,0.4729
0.904071,0.1,race_to_bottom,-0.4075,0.7199,0.3125,0.000,3.81478e+08,5.22794e+06,88840.4,1.13186e+09,7.55702e+08,6.04562e+08,1.5114e+08,6957.26,1.8542e+08,10141.6,15.6312,17141.7,1.96058e+08,5701.62,34.3687,37689.9,0.8323,0.9625,0.6510,0.4339,0.2073,0.0239,0.4260,0.5927
1.14723,0.1,transitional,-0.1928,0.6167,0.4240,0.000,4.59828e+08,5.04761e+06,117300,1.11197e+09,6.57305e+08,5.25844e+08,1.31461e+08,8386.18,2.79773e+08,10681.8,21.1937,23241.8,1.80055e+08,6142.28,28.8063,31589.9,0.5025,0.9278,0.4195,0.6172,0.5377,0.0975,0.6560,0.4048
1.45579,0.1,race_to_bottom,-0.5285,0.7821,0.2536,0.000,3.28493e+08,5.33098e+06,101739,1.14331e+09,8.20251e+08,6.56201e+08,1.6405e+08,5990.94,1.2654e+08,8330.44,12.6937,13920.4,2.01953e+08,5051.43,37.3063,40911.3,0.6459,0.9097,0.8425,0.7304,0.4089,0.0943,0.1849,0.3263
1.84734,0.1,race_to_bottom,-0.6064,0.8132,0.2068,0.000,2.91018e+08,5.42084e+06,85626.6,1.15337e+09,8.67857e+08,6.94286e+08,1.73571e+08,5307.49,7.95492e+07,6585.73,10.375,11377.6,2.11469e+08,4941.75,39.625,43454.1,0.7754,0.9550,0.7920,0.7305,0.1983,0.0607,0.2922,0.2762
2.3442,0.1,race_to_bottom,-0.5617,0.8094,0.2477,0.000,3.09349e+08,5.35644e+06,110746,1.14596e+09,8.42076e+08,6.73661e+08,1.68415e+08,5641.79,1.02139e+08,6438.21,12.3938,13591.4,2.0721e+08,5141.99,37.6063,41240.3,0.6874,0.9464,0.7175,0.8862,0.3983,0.1000,0.3223,0.1700
2.9747,0.1,race_to_bottom,-0.2105,0.6169,0.4064,0.250,4.47394e+08,5.05419e+06,98986.9,1.11228e+09,6.70042e+08,5.36034e+08,1.34008e+08,8159.4,2.69872e+08,9176.63,20.3312,22295.9,1.77521e+08,6401.32,29.6687,32535.7,0.6963,0.9554,0.5445,0.2714,0.3033,0.0241,0.5081,0.7903
3.77478,0.1,race_to_bottom,-0.3941,0.7205,0.3264,0.000,3.84746e+08,5.18665e+06,98701,1.12694e+09,7.47479e+08,5.97984e+08,1.49496e+08,7016.86,1.95045e+08,8636.2,16.3,17875.1,1.89701e+08,5623.11,33.7,36956.5,0.4563,0.9221,0.5851,0.9186,0.6001,0.1153,0.4951,0.0951
4.79005,0.1,race_to_bottom,-0.5236,0.7853,0.2617,0.000,3.23321e+08,5.31466e+06,101233,1.14117e+09,8.23267e+08,6.58614e+08,1.64653e+08,5896.61,1.15885e+08,6468.19,13.0688,14331.6,2.07437e+08,5318.26,36.9312,40500,0.7299,0.9517,0.8662,0.5933,0.3316,0.0827,0.1709,0.4614
6.07839,0.1,race_to_bottom,-0.4511,0.7483,0.2973,0.000,3.36497e+08,5.22584e+06,128968,1.13147e+09,8.00327e+08,6.40262e+08,1.60065e+08,6136.92,1.27243e+08,7154.42,14.8438,16278.1,2.09255e+08,5543.25,35.1562,38553.5,0.6454,0.9002,0.7987,0.6490,0.3920,0.1465,0.2643,0.3862
7.71324,0.1,race_to_bottom,-0.5614,0.7855,0.2241,0.000,3.24315e+08,5.28562e+06,80530.6,1.13832e+09,8.1937e+08,6.55496e+08,1.63874e+08,5914.74,1.18358e+08,8390.07,11.2188,12302.9,2.05957e+08,5035.22,38.7812,42528.8,0.9140,0.7701,0.9140,0.5440,0.0708,0.2756,0.1021,0.4481
9.7878,0.1,race_to_bottom,-0.2390,0.6349,0.3960,0.250,4.39297e+08,5.00543e+06,110055,1.10692e+09,6.72742e+08,5.38193e+08,1.34548e+08,8011.75,2.57745e+08,8996.79,19.7812,21692.8,1.81552e+08,6066.68,30.2187,33138.9,0.2576,0.9019,0.6878,0.6924,0.8058,0.1180,0.3336,0.3265
12.4203,0.1,transitional,-0.3563,0.6636,0.3073,0.000,3.81216e+08,5.00502e+06,101218,1.10623e+09,7.30118e+08,5.84094e+08,1.46024e+08,6952.48,1.559e+08,9180.42,15.3312,16812.8,2.25316e+08,5943.5,34.6688,38018.9,0.6119,0.7556,0.6619,0.6251,0.3403,0.2673,0.3207,0.3009
15.7609,0.1,green_club,0.3285,0.2939,0.6224,0.750,6.93267e+08,4.46641e+06,83267,1.04613e+09,3.5741e+08,2.85928e+08,7.14819e+07,12643.5,5.09646e+08,14178.8,31.1313,34139.6,1.83621e+08,9679.04,18.8688,20692.1,0.2518,0.5300,0.1847,0.2091,0.7253,0.2304,0.8353,0.6985
20,0.1,green_club,0.6020,0.1808,0.7828,1.000,8.4136e+08,4.25776e+06,71939.1,1.02195e+09,1.84922e+08,1.47937e+08,3.69844e+07,15344.4,6.93124e+08,16142,39.1313,42912.6,1.48236e+08,12485.8,10.8688,11919,0.1106,0.2001,0.2411,0.1713,0.7957,0.8055,0.7550,0.7750
0.02,0.114442,green_club,0.8733,0.0861,0.9595,1.000,9.86542e+08,4.38989e+06,47435.2,1.04019e+09,5.80867e+07,4.64693e+07,1.16173e+07,17992.2,9.66912e+08,18368.7,47.975,52611,1.96303e+07,8771.36,2.025,2220.68,0.0296,0.1565,0.0438,0.1147,0.9800,0.9362,0.9800,0.9418
0.0253792,0.114442,green_club,0.8723,0.0893,0.9615,1.000,9.88335e+08,4.38195e+06,47799,1.03924e+09,5.53395e+07,4.42716e+07,1.10679e+07,18024.9,9.70736e+08,18397,48.075,52720.6,1.75989e+07,8684.13,1.925,2111.02,0.0371,0.1898,0.0345,0.0956,0.9800,0.9203,0.9800,0.9659
