phi,delta_loc,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
0,200,green_club,0.9597,0.0203,0.9800,1.000,1.10576e+06,4.35119e+06,6388.71,0,3.25182e+06,2.60145e+06,650363,20.1664,3.19596e+06,59.4763,49,53735,-2.0902e+06,-1906.02,1,1096.63,0.0304,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
86.2069,200,green_club,0.9617,0.0183,0.9800,1.000,6.07434e+07,4.34865e+06,4848.76,5.94785e+07,3.08861e+06,2.47089e+06,617723,1107.82,6.15401e+07,1145.25,49,53735,-796743,-726.535,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
172.414,200,green_club,0.9617,0.0183,0.9800,1.000,1.20222e+08,4.34865e+06,4848.76,1.18957e+08,3.08861e+06,2.47089e+06,617723,2192.56,1.19754e+08,2228.6,49,53735,468282,427.018,1,1096.63,0.0221,0.0150,0.0195,0.0164,0.9800,0.9800,0.9800,0.9800
258.621,200,green_club,0.9597,0.0203,0.9800,1.000,1.79425e+08,4.33721e+06,7085.07,1.78195e+08,3.11403e+06,2.49123e+06,622806,3272.3,1.77559e+08,3304.34,49,53735,1.8665e+06,1702.02,1,1096.63,0.0133,0.0240,0.0173,0.0266,0.9800,0.9800,0.9800,0.9800
344.828,200,race_to_bottom,-0.9623,0.9928,0.0305,0.000,8.21148e+07,5.73266e+06,44031.5,2.73242e+08,1.96904e+08,1.57523e+08,3.93807e+07,1497.58,2.72399e+06,1630.02,1.525,1672.37,7.93908e+07,1493.57,48.475,53159.3,0.9987,1.0000,0.9731,0.9995,0.0400,0.0000,0.0421,0.0400
431.034,200,race_to_bottom,-0.9816,0.9966,0.0150,0.000,1.50271e+08,5.76308e+06,21522.7,3.42546e+08,1.9806e+08,1.58448e+08,3.96119e+07,2740.58,2.20799e+06,2936.66,0.75,822.475,1.48063e+08,2741.45,49.25,54009.2,1.0000,1.0000,0.9866,0.9999,0.0000,0.0000,0.0200,0.0400
517.241,200,race_to_bottom,-0.9815,0.9965,0.0150,0.000,2.18775e+08,5.76284e+06,21522.7,4.11046e+08,1.98055e+08,1.58444e+08,3.96111e+07,3989.94,3.0392e+06,3931.68,0.75,822.475,2.15736e+08,3994.43,49.25,54009.2,1.0000,0.9999,0.9866,0.9994,0.0000,0.0000,0.0200,0.0400
603.448,200,race_to_bottom,-0.9816,0.9966,0.0150,0.000,2.87272e+08,5.76268e+06,21522.7,4.79536e+08,1.98048e+08,1.58438e+08,3.96096e+07,5239.17,3.87034e+06,4926.66,0.75,822.475,2.83402e+08,5247.28,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
689.655,200,race_to_bottom,-0.9816,0.9966,0.0150,0.000,3.5578e+08,5.76276e+06,21522.7,5.48045e+08,1.9805e+08,1.5844e+08,3.96099e+07,6488.59,4.70151e+06,5921.65,0.75,822.475,3.51078e+08,6500.33,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
775.862,200,race_to_bottom,-0.9816,0.9966,0.0150,0.000,4.24286e+08,5.76276e+06,21522.7,6.16551e+08,1.9805e+08,1.5844e+08,3.96099e+07,7737.97,5.53269e+06,6916.66,0.75,822.475,4.18753e+08,7753.33,49.25,54009.2,1.0000,1.0000,0.9866,1.0000,0.0000,0.0000,0.0200,0.0400
862.069,200,race_to_bottom,-0.9810,0.9960,0.0150,0.000,4.92751e+08,5.76164e+06,21522.7,6.85002e+08,1.98034e+08,1.58427e+08,3.96067e+07,8986.62,6.36393e+06,7911.78,0.75,822.475,4.86387e+08,9005.59,49.25,54009.2,1.0000,1.0000,0.9840,1.0000,0.0000,0.0000,0.0200,0.0400
948.276,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,5.61241e+08,5.76144e+06,21522.7,7.53488e+08,1.9803e+08,1.58424e+08,3.9606e+07,10235.7,7.19511e+06,8906.79,0.75,822.475,5.54046e+08,10258.3,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1034.48,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,6.29738e+08,5.7614e+06,21522.7,8.21985e+08,1.98029e+08,1.58424e+08,3.96059e+07,11484.9,8.02629e+06,9901.8,0.75,822.475,6.21712e+08,11511.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1120.69,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,6.98296e+08,5.76229e+06,21522.7,8.90558e+08,1.98046e+08,1.58437e+08,3.96092e+07,12735.3,8.85747e+06,10896.8,0.75,822.475,6.89438e+08,12765.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1206.9,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,7.668e+08,5.76229e+06,21522.7,9.59062e+08,1.98046e+08,1.58437e+08,3.96092e+07,13984.6,9.68865e+06,11891.8,0.75,822.475,7.57111e+08,14018.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1293.1,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,8.35304e+08,5.76229e+06,21522.7,1.02757e+09,1.98046e+08,1.58437e+08,3.96092e+07,15234,1.05198e+07,12886.8,0.75,822.475,8.24785e+08,15271.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1379.31,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,9.03809e+08,5.76229e+06,21522.7,1.09607e+09,1.98046e+08,1.58437e+08,3.96092e+07,16483.3,1.1351e+07,13881.8,0.75,822.475,8.92458e+08,16524,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1465.52,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,9.72313e+08,5.76229e+06,21522.7,1.16458e+09,1.98046e+08,1.58437e+08,3.96092e+07,17732.7,1.21822e+07,14876.8,0.75,822.475,9.60131e+08,17777,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1551.72,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.04082e+09,5.76234e+06,21522.7,1.23309e+09,1.98047e+08,1.58437e+08,3.96094e+07,18982.1,1.30133e+07,15871.8,0.75,822.475,1.02781e+09,19030.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1637.93,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.10933e+09,5.76234e+06,21522.7,1.30159e+09,1.98047e+08,1.58437e+08,3.96094e+07,20231.5,1.38445e+07,16866.8,0.75,822.475,1.09548e+09,20283.1,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1724.14,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.17783e+09,5.76234e+06,21522.7,1.37009e+09,1.98047e+08,1.58437e+08,3.96094e+07,21480.9,1.46757e+07,17861.8,0.75,822.475,1.16316e+09,21536,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1810.34,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.24634e+09,5.76234e+06,21522.7,1.4386e+09,1.98047e+08,1.58437e+08,3.96094e+07,22730.2,1.55069e+07,18856.8,0.75,822.475,1.23083e+09,22789,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1896.55,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.31484e+09,5.76234e+06,21522.7,1.5071e+09,1.98047e+08,1.58437e+08,3.96094e+07,23979.6,1.63381e+07,19851.8,0.75,822.475,1.2985e+09,24042,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1982.76,200,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.38335e+09,5.76234e+06,21522.7,1.57561e+09,1.98047e+08,1.58437e+08,3.96094e+07,25229,1.71692e+07,20846.8,0.75,822.475,1.36618e+09,25295,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
