period,jurisdiction,policy,population,f_H,f_L,f_total,f_imported,price,pi_H,pi_L,tariff_total,wage_pc,cs_pc,tax_pc,tariff_pc,damage_pc,welfare_pc
1,J1,L,1732.08,6,2,8,9.5,19.8294,1101208.6661,868010.5264,-0.0,0.004619,0.029109,0.0,-0.0,-0.001039,0.032688
1,J2,L,230.45,6,3,9,7.5,18.856,130952.2834,101720.3956,-0.0,0.039054,1.308661,0.0,-0.0,-0.007811,1.339904
1,J3,S,3380.15,9,0,9,9.25,19.9115,2168855.5577,1711547.5808,-0.5,0.002663,0.007832,0.0,-0.000148,-0.000799,0.009548
1,J4,L,4495.57,6,0,6,11.25,19.9377,2892989.7298,2283834.02,-0.5,0.001335,0.003884,0.0,-0.000111,-0.0004,0.004707
1,J5,S,58.76,12,2,14,9.75,15.8762,9258.9419,16575.3159,1.5,0.238261,17.005595,1.021117,0.025528,-0.061267,18.229234
1,J6,L,155.51,12,1,13,11.25,17.9,78630.7458,60093.551,-1.5,0.083594,4.409936,0.0,-0.009645,-0.023149,4.460735
1,J7,S,1328.44,10,1,11,14.25,19.7389,431154.7771,658140.4629,1.0,0.00828,0.068193,0.037638,0.000753,-0.002258,0.112606
1,J8,S,682.41,13,1,14,12.25,19.4821,212644.7813,327143.9007,1.0,0.020515,0.268196,0.09525,0.001465,-0.005715,0.379712
1,J9,L,1069.34,13,3,16,9.5,19.6324,664917.2811,522631.8477,-1.5,0.014962,0.135154,0.0,-0.001403,-0.003647,0.145067
1,J10,S,305.04,9,0,9,11.25,19.1131,89514.4149,139344.4261,1.5,0.029505,0.786606,0.147523,0.004917,-0.008851,0.9597
1,J11,S,4101.45,4,0,4,11.0,19.9409,2640321.0227,2084462.1105,-0.5,0.000975,0.003492,0.0,-0.000122,-0.000293,0.004053
1,J12,L,3521.66,8,3,11,8.0,19.9112,2259586.9325,1783141.6077,-0.5,0.003124,0.007877,0.0,-0.000142,-0.000681,0.010177
1,J13,L,1210.81,5,3,8,10.25,19.7484,762823.7643,600590.6692,-0.0,0.006607,0.06331,0.0,-0.0,-0.001239,0.068678
1,J14,L,5948.31,9,2,11,11.75,19.9371,3827616.5692,3021639.4606,-0.5,0.001849,0.003955,0.0,-8.4e-05,-0.000454,0.005266
1,J15,L,2211.14,14,1,15,10.75,19.8113,1402942.615,1105564.5573,-1.0,0.006784,0.035591,0.0,-0.000452,-0.001899,0.040023
1,J16,S,302.19,11,2,13,9.75,18.9991,87017.4198,135969.0201,1.0,0.043019,1.001899,0.182004,0.003309,-0.01092,1.219311
1,J17,S,1906.69,8,3,11,10.0,19.8463,629315.4846,957563.9831,0.5,0.005769,0.023618,0.020979,0.000262,-0.001259,0.049369
1,J18,S,260.26,2,0,2,9.25,19.465,80876.3673,124490.6009,0.0,0.007685,0.286197,0.038423,0.0,-0.002305,0.329999
1,J19,S,4095.63,4,6,10,6.5,19.9417,1371933.2841,2081707.1783,0.5,0.002442,0.003399,0.004883,0.000122,-0.000293,0.010553
1,J20,S,1017.51,3,0,3,8.0,19.851,336078.8919,511305.8378,0.5,0.002948,0.022202,0.014742,0.000491,-0.000885,0.039499
1,J21,S,831.06,8,2,10,8.0,19.6708,519012.0212,408175.9543,-2.0,0.012033,0.108364,0.0,-0.002407,-0.002888,0.115102
1,J22,S,394.89,7,3,10,8.25,19.3925,121288.6842,187120.4888,0.5,0.025324,0.369109,0.088632,0.001266,-0.005318,0.479013
1,J23,S,6862.4,8,1,9,10.5,19.9619,2305924.5234,3496846.4281,0.5,0.001311,0.001449,0.005829,7.3e-05,-0.00035,0.008313
1,J24,S,869.75,10,1,11,10.0,19.6834,279831.5479,427863.8222,0.5,0.012647,0.100227,0.057488,0.000575,-0.003449,0.167488
1,J25,S,576.81,9,2,11,10.5,19.4944,180091.0172,276955.9329,1.0,0.01907,0.255624,0.078016,0.001734,-0.004681,0.349763
1,J26,S,646.65,8,2,10,11.0,19.4964,395906.4259,310567.9003,-1.0,0.015464,0.253648,0.0,-0.001546,-0.003711,0.263855
1,J27,L,2436.86,11,1,12,9.25,19.855,1553738.8059,1225153.7959,-0.5,0.004924,0.021034,0.0,-0.000205,-0.001354,0.024399
1,J28,L,1897.26,8,2,10,10.75,19.8203,1204993.7046,949694.4872,-0.5,0.005271,0.032308,0.0,-0.000264,-0.001265,0.03605
1,J29,L,2036.73,5,1,6,11.25,19.8623,1299688.6431,1024936.904,-0.5,0.002946,0.01895,0.0,-0.000245,-0.000736,0.020914
1,J30,S,2092.74,6,9,15,8.75,19.8318,689161.6909,1049075.1218,1.5,0.007168,0.028292,0.014335,0.000717,-0.00086,0.049652
1,J31,L,27240.81,6,2,8,9.5,19.9901,17632674.9789,13930077.785,-1.5,0.000294,9.8e-05,0.0,-5.5e-05,-6.6e-05,0.00027
1,J32,S,596.08,9,2,11,10.0,19.5349,187317.3207,287708.7126,0.5,0.018454,0.216311,0.075493,0.000839,-0.00453,0.306567
1,J33,S,508.59,6,0,6,9.0,19.6061,161642.4311,247732.4401,1.0,0.011797,0.155171,0.058987,0.001966,-0.003539,0.224382
1,J34,S,323.55,8,3,11,7.25,19.2722,97456.8973,150928.2617,0.5,0.033998,0.529654,0.12363,0.001545,-0.007418,0.68141
1,J35,L,2762.71,6,0,6,9.5,19.9185,1774058.9639,1400131.6284,-2.0,0.002172,0.006647,0.0,-0.000724,-0.000652,0.007443
1,J36,S,5963.77,5,1,6,10.0,19.963,2004297.0349,3039345.4599,1.0,0.001006,0.001369,0.004192,0.000168,-0.000252,0.006483
1,J37,S,924.34,13,2,15,7.75,19.6698,296755.8045,453927.9293,1.0,0.016228,0.109047,0.070321,0.001082,-0.004219,0.192458
1,J38,L,310.99,6,2,8,10.75,19.1402,182730.8813,142575.0851,-1.5,0.025724,0.739195,0.0,-0.004823,-0.005788,0.754308
1,J39,S,318.39,9,2,11,11.25,19.1017,93257.1391,145224.9099,1.0,0.034549,0.806957,0.141336,0.003141,-0.00848,0.977503
1,J40,L,2909.94,5,6,11,10.5,19.8895,1862558.0252,1469378.6047,-1.5,0.00378,0.012216,0.0,-0.000515,-0.000515,0.014965
1,J41,S,3343.86,10,1,11,11.25,19.912,1114973.4771,1693273.7026,0.5,0.00329,0.007746,0.014953,0.00015,-0.000897,0.02524
1,J42,S,2476.82,11,1,12,9.75,19.882,822041.0568,1249501.8039,1.0,0.004845,0.013916,0.022206,0.000404,-0.001332,0.040038
1,J43,S,404.13,8,3,11,9.5,19.353,123336.8999,190517.6082,0.5,0.027219,0.418654,0.098978,0.001237,-0.005939,0.540149
1,J44,L,1553.46,1,5,6,9.75,19.8587,990900.3897,781385.6008,-2.0,0.003862,0.019969,0.0,-0.001287,-0.000193,0.022351
1,J45,S,1306.4,6,3,9,10.5,19.8028,428266.0105,652487.3456,0.5,0.006889,0.038898,0.022964,0.000383,-0.001378,0.067756
1,J46,S,1522.38,5,2,7,11.25,19.8348,501571.6912,763448.7078,1.0,0.004598,0.027288,0.016422,0.000657,-0.000985,0.04798
1,J47,S,4052.72,17,1,18,10.25,19.9037,1349599.4835,2050089.1466,1.0,0.004441,0.009274,0.020974,0.000247,-0.001258,0.033677
1,J48,L,1533.63,11,1,12,11.25,19.7593,967391.4622,761770.8921,-1.0,0.007825,0.057939,0.0,-0.000652,-0.002152,0.06296
1,J49,L,3036.23,10,3,13,11.25,19.8706,1939289.5772,1529505.8347,-0.5,0.004282,0.016742,0.0,-0.000165,-0.000988,0.019871
1,J50,L,1213.63,7,0,7,10.5,19.7563,765281.4048,602594.0295,-0.0,0.005768,0.05938,0.0,-0.0,-0.00173,0.063417
2,J1,L,1732.08,6,2,8,9.5,19.8358,1102003.1066,868715.8671,-0.5,0.004619,0.026956,0.0,-0.000289,-0.001039,0.030247
2,J2,L,230.45,6,3,9,7.5,18.9016,131661.0802,102345.2058,-0.5,0.039054,1.206506,0.0,-0.00217,-0.007811,1.23558
2,J3,S,3380.15,9,0,9,6.25,19.9353,1131144.9704,1716666.7537,1.5,0.002663,0.004189,0.013313,0.000444,-0.000799,0.019809
2,J4,L,4495.57,6,0,6,8.25,19.9481,2896356.845,2286825.8207,-1.0,0.001335,0.002692,0.0,-0.000222,-0.0004,0.003404
2,J5,S,58.76,0,2,2,7.25,17.8973,13955.5461,22697.0366,1.0,0.034037,4.421169,0.0,0.017019,-0.0,4.472225
2,J6,L,155.51,12,1,13,2.5,18.4066,83720.5657,64553.1808,-1.5,0.083594,2.539064,0.0,-0.009645,-0.023149,2.589864
2,J7,S,1328.44,0,1,1,8.0,19.889,441375.4403,670753.9928,1.0,0.000753,0.012328,0.0,0.000753,-0.0,0.013834
2,J8,S,682.41,0,1,1,7.5,19.7959,223470.8838,340539.6882,1.0,0.001465,0.041648,0.0,0.001465,-0.0,0.044578
2,J9,L,1069.34,13,3,16,1.5,19.7226,671739.375,528682.1015,-2.0,0.014962,0.076956,0.0,-0.00187,-0.003647,0.086401
2,J10,S,305.04,0,0,0,8.0,19.5927,96743.2558,148328.8491,1.0,0.0,0.165893,0.0,0.003278,-0.0,0.169171
2,J11,S,4101.45,4,0,4,8.75,19.9523,1376136.9337,2087442.3266,1.5,0.000975,0.002275,0.004876,0.000366,-0.000293,0.0082
2,J12,L,3521.66,8,3,11,5.75,19.9202,2261855.0484,1785156.5254,-1.0,0.003124,0.006363,0.0,-0.000284,-0.000681,0.008521
2,J13,L,1210.81,5,3,8,10.25,19.7525,763173.5012,600901.0001,-0.5,0.006607,0.061279,0.0,-0.000413,-0.001239,0.066235
2,J14,L,5948.31,9,2,11,9.0,19.9426,3829964.3273,3023725.4823,-0.5,0.001849,0.003293,0.0,-8.4e-05,-0.000454,0.004605
2,J15,L,2211.14,14,1,15,6.0,19.8365,1406904.9466,1109082.2805,-1.0,0.006784,0.026739,0.0,-0.000452,-0.001899,0.031171
2,J16,S,302.19,0,2,2,7.25,19.5111,94603.3412,145411.9453,1.0,0.006618,0.23898,0.0,0.003309,-0.0,0.248907
2,J17,S,1906.69,0,3,3,5.75,19.9263,637171.891,967249.4048,0.5,0.001573,0.005438,0.0,0.000262,-0.0,0.007274
2,J18,S,260.26,0,0,0,2.75,19.8432,85857.6692,130652.857,0.0,0.0,0.024598,0.0,0.0,-0.0,0.024598
2,J19,S,4095.63,0,6,6,3.25,19.9662,1377133.0329,2088111.135,0.0,0.001465,0.001143,0.0,0.0,-0.0,0.002608
2,J20,S,1017.51,0,0,0,4.75,19.9362,340548.5386,516815.4545,0.0,0.0,0.004074,0.0,0.0,-0.0,0.004074
2,J21,S,831.06,8,2,10,2.5,19.7943,272081.5333,414635.4696,0.0,0.012033,0.042302,0.048131,0.0,-0.002888,0.099578
2,J22,S,394.89,0,3,3,3.0,19.783,129053.5169,196735.8948,0.0,0.007597,0.047097,0.0,0.0,-0.0,0.054694
2,J23,S,6862.4,0,1,1,4.0,19.9898,2315854.1031,3509071.7108,0.0,0.000146,0.000104,0.0,0.0,-0.0,0.00025
2,J24,S,869.75,0,1,1,4.0,19.92,290367.4342,440868.7299,0.0,0.00115,0.006404,0.0,0.0,-0.0,0.007553
2,J25,S,576.81,0,2,2,6.0,19.7922,188779.0959,287705.5137,0.5,0.003467,0.043165,0.0,0.000867,-0.0,0.047499
2,J26,S,646.65,8,2,10,6.25,19.6391,206598.9335,316314.7915,1.0,0.015464,0.13026,0.061858,0.001546,-0.003711,0.205417
2,J27,L,2436.86,11,1,12,7.0,19.8699,1556338.8586,1227462.729,-1.0,0.004924,0.016925,0.0,-0.00041,-0.001354,0.020085
2,J28,L,1897.26,8,2,10,9.25,19.8347,1206951.2952,951432.463,-1.0,0.005271,0.027316,0.0,-0.000527,-0.001265,0.030794
