µ sweep  h0=0.4 s0=0.6 T=1000 burn-in=200
      mu     h_ss     s_ss  regime
  0.0010    0.600    0.364      PH
  0.0015    0.600    0.364      PH
  0.0022    0.600    0.364      PH
  0.0033    0.600    0.364      PH
  0.0050    0.600    0.364      PH
  0.0074    0.600    0.400      PH
  0.0110    0.600    0.400      PH
  0.0165    0.600    0.400      PH
  0.0245    0.600    0.416      PH
  0.0366    0.600    0.416      PH
  0.0546    0.600    0.400      PH
  0.0815    0.600    0.400      PH
  0.1216    0.600    0.400      PH
  0.1814    0.600    0.400      PH
  0.2706    0.600    0.600      PH
  0.4037    0.600    0.600      PH
  0.6023    0.600    0.400      PH
  0.8986    0.600    0.580      PH
  1.3406    0.600    0.600      PH
  2.0000    0.600    0.576      PH
