period,firm_id,from_jurisdiction,to_jurisdiction,pi_H_origin,pi_H_dest,delta_pi
1,65,J30,J31,318.2264,102213.7806,101895.5542
1,128,J16,J14,1.4391,18829.0105,18827.5714
1,165,J39,J40,0.3641,8502.155,8501.7908
1,200,J25,J27,13.2526,6090.2271,6076.9745
1,355,J43,J44,12.722,4462.7208,4449.9988
1,393,J39,J40,0.3641,8502.155,8501.7908
1,483,J30,J31,318.2264,102213.7806,101895.5542
2,153,J45,J44,244.86,4330.0916,4085.2315
2,154,J5,J4,6.9848,14280.9118,14273.927
2,193,J10,J11,0.6349,13159.862,13159.2271
2,321,J16,J14,1.9571,18655.1562,18653.1991
2,447,J33,J31,25.4236,101765.1729,101739.7493
3,7,J36,J35,2552.6067,8730.6266,6178.02
3,21,J16,J14,2.5889,18483.3784,18480.7895
3,22,J41,J40,1105.1461,8213.9499,7108.8037
3,34,J16,J14,2.5889,18483.3784,18480.7895
3,97,J42,J40,650.4398,8213.9499,7563.5101
3,183,J42,J40,650.4398,8213.9499,7563.5101
3,237,J16,J14,2.5889,18483.3784,18480.7895
3,308,J43,J44,10.7801,4202.4941,4191.714
3,359,J10,J11,1.02,12983.4919,12982.4719
3,394,J32,J31,24.2372,101564.8541,101540.617
3,440,J39,J40,0.0573,8213.9499,8213.8926
3,449,J41,J40,1105.1461,8213.9499,7108.8037
4,59,J47,J49,1222.9506,8054.3344,6831.3838
4,106,J34,J35,4.0246,8566.3101,8562.2856
4,112,J37,J35,84.033,8566.3101,8482.2772
4,195,J16,J14,5.3497,17980.192,17974.8423
4,198,J17,J15,398.543,4963.1639,4564.6209
4,294,J47,J49,1222.9506,8054.3344,6831.3838
4,346,J41,J40,1112.7098,7561.5832,6448.8734
4,349,J16,J14,5.3497,17980.192,17974.8423
4,398,J37,J35,84.033,8566.3101,8482.2772
4,411,J32,J31,23.4565,101342.1144,101318.6579
4,436,J34,J35,4.0246,8566.3101,8562.2856
4,490,J5,J4,7.992,14106.9042,14098.9122
4,495,J5,J4,7.992,14106.9042,14098.9122
5,32,J34,J35,1.4472,7947.7056,7946.2584
5,61,J30,J31,314.0671,101120.0145,100805.9474
5,133,J16,J14,9.139,17615.1402,17606.0012
5,263,J30,J31,314.0671,101120.0145,100805.9474
5,492,J37,J35,75.1164,7947.7056,7872.5893
6,40,J32,J31,19.2528,100677.7246,100658.4717
6,79,J25,J27,12.5173,5968.0374,5955.5201
6,138,J32,J31,19.2528,100677.7246,100658.4717
6,216,J47,J49,1231.0701,7793.8044,6562.7342
6,267,J41,J40,1117.7162,7436.318,6318.6018
6,377,J42,J40,618.2509,7436.318,6818.0671
7,38,J5,J4,8.7801,13773.2828,13764.5027
7,39,J33,J31,3.771,100237.9657,100234.1948
7,48,J10,J11,1.5277,12810.1776,12808.6499
7,197,J39,J40,1.4777,7002.5237,7001.046
7,234,J5,J4,8.7801,13773.2828,13764.5027
7,326,J30,J31,302.8788,100237.9657,99935.087
8,31,J36,J35,2487.9488,7666.9487,5178.9999
8,50,J34,J35,0.5987,7666.9487,7666.35
8,75,J5,J4,11.6529,13443.8301,13432.1772
8,177,J47,J49,1235.2018,7667.5849,6432.3831
8,253,J32,J31,14.1828,99800.7194,99786.5366
8,453,J32,J31,14.1828,99800.7194,99786.5366
9,102,J16,J14,7.7667,17461.6925,17453.9258
9,385,J43,J42,4.6013,6508.4909,6503.8895
10,36,J8,J9,16.9532,1795.0315,1778.0782
10,136,J32,J31,14.4858,99411.1068,99396.6209
11,41,J5,J4,13.4414,13282.924,13269.4826
11,189,J30,J31,306.5084,99194.5714,98888.063
11,242,J16,J14,6.3768,17310.0083,17303.6315
11,274,J34,J35,0.1052,7391.6326,7391.5274
11,286,J47,J49,1239.3826,7543.9683,6304.5858
11,470,J32,J31,13.5945,99194.5714,99180.9768
12,20,J37,J35,60.9875,7258.7332,7197.7457
12,107,J34,J35,0.0088,7258.7332,7258.7244
12,170,J45,J44,256.4606,3909.3005,3652.8399
12,426,J37,J35,60.9875,7258.7332,7197.7457
12,471,J37,J35,60.9875,7258.7332,7197.7457
13,18,J36,J35,2423.6315,6756.7571,4333.1256
13,143,J47,J49,1246.9211,7422.8868,6175.9657
13,318,J10,J11,3.0591,12573.3229,12570.2638
14,428,J22,J21,8.6276,1556.8504,1548.2228
14,472,J30,J31,315.0766,98785.7898,98470.7132
15,2,J39,J40,2.3782,6823.6909,6821.3128
15,104,J16,J14,8.0174,17142.3416,17134.3241
15,144,J10,J11,4.0432,12407.0038,12402.9606
15,256,J37,J35,52.1787,6542.6384,6490.4597
15,284,J39,J40,2.3782,6823.6909,6821.3128
16,437,J46,J47,211.075,11596.8651,11385.7902
16,445,J43,J42,5.425,6293.8358,6288.4108
17,47,J25,J27,12.6007,5848.9598,5836.3591
17,119,J46,J47,208.9013,11446.8668,11237.9655
17,185,J8,J7,4.6279,2465.822,2461.1941
18,386,J41,J40,1001.0073,6591.715,5590.7077
18,427,J17,J15,444.3649,4726.9292,4282.5643
19,27,J43,J42,4.3262,6136.2849,6131.9587
19,55,J30,J31,312.9397,98362.1206,98049.1809
19,157,J45,J47,179.3415,11254.1924,11074.8509
19,374,J45,J47,179.3415,11254.1924,11074.8509
19,376,J5,J4,21.1045,13124.4981,13103.3935
20,184,J45,J47,180.5104,10967.4699,10786.9595
20,223,J41,J40,995.6842,6460.7695,5465.0853
20,383,J5,J4,21.0643,12986.2116,12965.1473
20,430,J10,J11,6.1443,12219.1516,12213.0073
20,441,J17,J15,451.0752,4620.4339,4169.3588
21,68,J8,J7,4.085,2398.1525,2394.0675
22,127,J19,J20,1522.4905,2641.3288,1118.8383
22,312,J45,J47,180.5529,10827.6276,10647.0748
23,171,J5,J4,24.319,12832.4137,12808.0947
23,269,J24,J26,118.6875,818.6461,699.9586
23,343,J30,J31,308.3422,98073.9871,97765.6449
23,438,J43,J42,3.6728,5992.6879,5989.0151
23,469,J5,J4,24.319,12832.4137,12808.0947
24,13,J5,J4,31.3085,12520.3582,12489.0497
24,96,J19,J20,1535.6442,2523.3177,987.6735
24,166,J17,J15,474.5546,4537.3198,4062.7652
25,226,J5,J4,35.6638,12373.5677,12337.9038
25,239,J25,J27,11.2949,5696.4259,5685.1311
25,317,J8,J7,3.5586,2319.998,2316.4394
26,15,J46,J47,188.1381,10695.4543,10507.3162
27,92,J43,J42,3.5828,5876.5044,5872.9216
27,203,J8,J7,2.7879,2238.7469,2235.9591
27,211,J34,J35,2.4608,6283.7031,6281.2423
27,241,J34,J35,2.4608,6283.7031,6281.2423
27,268,J22,J20,8.436,2301.9131,2293.4771
27,468,J32,J31,3.458,97883.3047,97879.8467
28,48,J11,J12,1335.4582,9898.9912,8563.533
28,221,J10,J12,0.5928,9898.9912,9898.3984
28,225,J36,J35,2317.0587,6066.8673,3749.8085
29,218,J39,J40,10.3286,6300.8249,6290.4963
29,448,J11,J12,1330.3614,9610.3931,8280.0317
29,473,J5,J4,41.5642,12228.9836,12187.4194
30,338,J10,J12,2.3531,9459.2641,9456.911
30,402,J17,J19,418.3425,13102.5565,12684.214
31,422,J17,J19,420.2121,12926.0509,12505.8388
32,272,J43,J42,5.5855,5741.4072,5735.8216
32,315,J30,J31,318.4363,97693.1418,97374.7055
33,30,J25,J27,2.5613,5588.8225,5586.2612
33,397,J39,J40,12.9976,6143.5926,6130.595
34,63,J18,J19,0.5378,12701.8072,12701.2694
34,77,J25,J27,2.0597,5479.311,5477.2513
35,159,J45,J47,193.6292,10549.4134,10355.7843
36,140,J46,J47,178.3372,10416.334,10237.9967
36,336,J36,J35,2360.0952,5988.5891,3628.4939
39,460,J30,J31,353.5608,97547.8976,97194.3368
40,37,J30,J31,354.2519,97336.5255,96982.2736
40,156,J43,J42,3.4351,5560.8698,5557.4347
41,481,J41,J40,938.0588,5957.7497,5019.6909
42,270,J32,J31,6.7251,97125.752,97119.0269
42,387,J46,J47,175.8772,10285.3968,10109.5196
43,116,J17,J19,411.3008,12519.4558,12108.155
43,190,J36,J35,2367.7215,5885.605,3517.8835
44,124,J8,J7,2.088,2161.4607,2159.3726
44,264,J10,J11,13.4622,12210.402,12196.9398
44,446,J25,J27,1.1636,5327.956,5326.7924
44,452,J39,J40,19.0952,5831.2955,5812.2003
46,71,J25,J27,0.7977,5224.5417,5223.744
47,167,J34,J35,3.4037,5784.8495,5781.4458
48,131,J41,J40,928.7558,5739.6855,4810.9297
49,35,J32,J31,5.8862,96915.5747,96909.6885
49,439,J25,J27,0.4878,5123.6529,5123.1651
51,89,J17,J19,413.1191,12352.7178,11939.5987
51,282,J17,J19,413.1191,12352.7178,11939.5987
54,230,J22,J20,0.977,2051.4756,2050.4986
55,219,J30,J31,357.6622,96728.0226,96370.3605
58,342,J22,J20,0.6482,1964.2547,1963.6065
58,391,J41,J40,930.4885,5622.2586,4691.7702
58,493,J30,J31,375.0352,96540.979,96165.9438
60,115,J39,J40,20.9632,5534.5861,5513.6229
61,52,J34,J35,2.237,5698.9822,5696.7452
66,93,J22,J20,0.3731,1881.6381,1881.265
66,250,J30,J31,375.9805,96332.4919,95956.5114
67,101,J8,J7,3.1405,2102.7172,2099.5767
67,360,J45,J47,187.8738,10130.8339,9942.9601
69,49,J17,J19,416.8878,11911.2798,11494.392
71,316,J18,J19,2.5586,11755.132,11752.5734
72,309,J41,J40,924.7776,5448.6208,4523.8433
75,257,J8,J7,2.6322,2038.1367,2035.5045
76,405,J43,J42,2.9107,5266.9655,5264.0549
77,78,J34,J35,3.2982,5602.3139,5599.0157
80,51,J8,J7,2.1517,1976.4864,1974.3347
85,254,J43,J42,2.233,5167.3246,5165.0917
94,323,J8,J7,1.7034,1917.5916,1915.8882
96,416,J22,J20,0.1638,1766.5126,1766.3489
99,295,J22,J20,0.0344,1692.8794,1692.845
105,202,J22,J20,0.0023,1623.7558,1623.7535
109,5,J39,J40,26.0554,5326.5301,5300.4748
111,252,J8,J7,1.2925,1861.2905,1859.998
148,248,J25,J27,0.1563,5016.771,5016.6147
175,86,J41,J40,900.4112,5244.5437,4344.1325
180,331,J8,J7,0.9249,1807.433,1806.5081
200,149,J22,J20,0.0885,1558.7811,1558.6926
