c_trade,t,leakage_pct,import_pen_pct,price_gap_pct,h_ss,s_ss,leakage_ok,import_ok,price_gap_ok,all_pass
0.5,2.0,0.08,41.17,3.95,0.934,0.98,0,0,0,0
0.5,3.0,3.71,24.29,1.02,0.986,0.18,0,1,0,0
0.5,4.0,1.65,32.98,2.9,0.976,0.0,0,1,0,0
0.5,5.0,2.39,27.58,0.57,0.984,0.32,0,1,0,0
0.5,6.0,3.51,31.25,4.53,0.97,0.0,0,1,0,0
0.5,7.0,2.64,33.21,0.96,0.964,0.18,0,1,0,0
1.0,2.0,0.05,40.21,1.0,0.892,0.98,0,0,0,0
1.0,3.0,2.01,25.18,0.98,0.988,0.2,0,1,0,0
1.0,4.0,1.14,16.61,1.39,0.978,0.6,0,0,0,0
1.0,5.0,3.67,23.09,0.43,0.986,0.2,0,1,0,0
1.0,6.0,5.0,28.9,1.01,0.984,0.12,1,1,0,0
1.0,7.0,4.02,24.46,1.22,0.976,0.28,0,1,0,0
1.5,2.0,0.07,36.59,-0.4,0.952,0.98,0,1,0,0
1.5,3.0,2.28,22.28,1.17,0.978,0.14,0,1,0,0
1.5,4.0,2.78,28.03,1.21,0.984,0.1,0,1,0,0
1.5,5.0,3.47,31.61,3.6,0.96,0.0,0,1,0,0
1.5,6.0,4.32,38.09,10.66,0.97,0.0,0,1,1,0
1.5,7.0,5.58,29.63,6.35,0.98,0.02,1,1,0,0
2.0,2.0,2.45,29.93,4.55,0.984,0.0,0,1,0,0
2.0,3.0,2.53,22.51,0.53,0.986,0.2,0,1,0,0
2.0,4.0,3.17,20.22,3.34,0.984,0.0,0,1,0,0
2.0,5.0,2.87,20.67,1.41,0.986,0.26,0,1,0,0
2.0,6.0,4.41,35.79,10.14,0.956,0.0,0,1,1,0
2.0,7.0,4.04,22.0,1.27,0.984,0.32,0,1,0,0
2.5,2.0,1.94,32.69,3.64,0.952,0.0,0,1,0,0
2.5,3.0,2.82,27.86,2.37,0.964,0.0,0,1,0,0
2.5,4.0,1.13,21.04,3.72,0.986,0.0,0,1,0,0
2.5,5.0,3.8,23.64,4.68,0.984,0.0,0,1,0,0
2.5,6.0,4.41,33.32,10.35,0.956,0.0,0,1,1,0
2.5,7.0,5.14,18.5,0.94,0.986,0.22,1,0,0,0
3.0,2.0,2.54,24.38,2.11,0.98,0.04,0,1,0,0
3.0,3.0,2.69,27.56,7.88,0.958,0.0,0,1,0,0
3.0,4.0,3.22,22.49,1.74,0.98,0.04,0,1,0,0
3.0,5.0,4.26,16.23,3.23,0.984,0.04,0,0,0,0
3.0,6.0,4.41,30.7,10.58,0.956,0.0,0,1,1,0
3.0,7.0,4.8,19.68,5.86,0.984,0.0,0,0,0,0
3.5,2.0,2.6,21.84,4.86,0.982,0.0,0,1,0,0
3.5,3.0,3.71,20.13,2.37,0.97,0.02,0,1,0,0
3.5,4.0,2.71,16.1,-0.26,0.984,0.02,0,0,0,0
3.5,5.0,3.17,27.76,10.97,0.938,0.0,0,1,1,0
3.5,6.0,4.61,25.26,-0.07,0.952,0.02,0,1,0,0
3.5,7.0,5.07,20.67,7.56,0.98,0.0,1,1,0,0
4.0,2.0,3.02,16.19,-1.22,0.984,0.02,0,0,0,0
4.0,3.0,3.65,15.76,-1.78,0.974,0.02,0,0,0,0
4.0,4.0,2.96,13.66,3.2,0.984,0.0,0,0,0,0
4.0,5.0,4.22,20.6,4.2,0.976,0.02,0,1,0,0
4.0,6.0,4.67,22.44,2.36,0.954,0.02,0,1,0,0
4.0,7.0,3.93,25.47,14.24,0.92,0.0,0,1,1,0
